max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
7.0,0.27384505982301605,5.7187408672443325e-05,0.032434060996912005,0.019627781772875,0.01432419850735,0.8901098901098902,0.9210526315789473
4.0,0.048934273926388,0.19838373711533402,0.081415282032941,0.068637163305826,0.143931321718827,0.9076923076923077,0.9035087719298246
4.0,0.56546022421217,0.013693796598963002,0.13590065737339302,0.06804373593266101,0.087962053186335,0.8945054945054945,0.9035087719298246
3.0,0.024850681527716002,0.40037228433776806,0.43306383724353503,0.042216314909836,0.147965672086171,0.6373626373626373,0.5877192982456141
13.0,0.609970094480184,0.042522105684888005,0.011641534821384001,0.02182325676209,0.304953075049531,0.8835164835164836,0.9035087719298246
8.0,0.9875,0.0001,0.0175,0.0195,0.0275,0.9230769230769231,0.9649122807017544
9.0,0.9702,0.0003,0.0111,0.0258,0.0483,0.9208791208791209,0.9210526315789473
9.0,0.9514,0.0001,0.0152,0.0284,0.0206,0.9296703296703297,0.9649122807017544
10.0,0.9885,0.0001,0.0101,0.0168,0.0174,0.9252747252747253,0.9385964912280702
9.0,0.9573,0.0001,0.0123,0.0233,0.0273,0.9230769230769231,0.9649122807017544
9.0,0.9701,0.0001,0.0101,0.0115,0.0181,0.9252747252747253,0.9385964912280702
10.0,0.9865,0.0001,0.0101,0.0157,0.0179,0.9252747252747253,0.9385964912280702
8.0,0.9699,0.0037,0.0101,0.0114,0.0163,0.9274725274725275,0.9385964912280702
9.0,0.9899,0.0001,0.0101,0.0141,0.0165,0.9252747252747253,0.9385964912280702
13.0,0.4863,0.0001,0.0101,0.0116,0.0101,0.9076923076923077,0.9385964912280702
9.0,0.9501,0.0001,0.0101,0.0125,0.0101,0.9120879120879122,0.9473684210526315
11.0,0.9627,0.0001,0.0127,0.0154,0.0158,0.9296703296703297,0.9385964912280702
7.0,0.25,0.0001,0.0101,0.0101,0.0101,0.9186813186813186,0.9210526315789473
11.0,0.9634,0.0001,0.0101,0.0114,0.0101,0.9120879120879122,0.9473684210526315
12.0,0.9187,0.0001,0.0101,0.0196,0.0156,0.9252747252747253,0.9385964912280702
15.0,0.9899,0.0001,0.0101,0.0101,0.0101,0.9230769230769231,0.9473684210526315
11.0,0.9668,0.0001,0.0122,0.0148,0.0139,0.9274725274725275,0.9473684210526315
7.0,0.6766,0.0013,0.0198,0.0526,0.0422,0.9076923076923077,0.9385964912280702
14.0,0.97,0.0001,0.0101,0.0114,0.0101,0.9230769230769231,0.9473684210526315
11.0,0.9885,0.0001,0.0133,0.0144,0.0246,0.9208791208791209,0.9649122807017544
11.0,0.9899,0.0001,0.0101,0.0114,0.0101,0.9230769230769231,0.9473684210526315
13.0,0.9544,0.0001,0.0111,0.0105,0.0133,0.9274725274725275,0.9473684210526315
9.0,0.9514,0.0001,0.0111,0.0258,0.0206,0.9296703296703297,0.9649122807017544
11.0,0.9655,0.0001,0.0101,0.0114,0.0101,0.9120879120879122,0.9473684210526315
9.0,0.9899,0.0001,0.0101,0.0114,0.0101,0.9230769230769231,0.9473684210526315
