hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score
185.0,0.000108685594791,215.0,0.002729872765365,0.371717949499384,0.0026566298800650002,0.9076923076923077,0.8771929824561403
84.0,0.155067725021613,227.0,0.0034029253146690003,0.101140030174416,0.052097967219698005,0.8835164835164834,0.9035087719298246
104.0,0.042149422583877,104.0,0.017692572850768,0.384147239692245,0.0062994922760190005,0.9142857142857143,0.8947368421052632
147.0,0.7351443178574231,15.0,1.4425186853193611e-05,0.7975590482703061,0.021819944836148002,0.7032967032967032,0.7982456140350878
116.0,2.47889002222658e-05,52.0,0.029075757573501,0.638161187869686,0.595741010417508,0.6373626373626373,0.5877192982456141
174.0,0.0017012541593208169,28.0,0.007648791102674497,0.55,0.92189,0.6857142857142857,0.5877192982456141
142.0,0.0019148898625705707,161.0,0.00766328363413274,0.736,0.9981,0.7472527472527472,0.5877192982456141
167.0,0.0004993096964381284,173.0,0.047947216504681964,0.838,0.85575,0.6967032967032967,0.868421052631579
123.0,0.5046730341583675,66.0,0.0009331659852911563,0.597,0.85716,0.36043956043956044,0.7719298245614035
195.0,0.0011482535585153881,234.0,0.004913086382252098,0.61,0.73997,0.887912087912088,0.868421052631579
173.0,1.0861267250415086e-05,250.0,0.0066364358390756635,0.127,0.05154,0.8593406593406595,0.868421052631579
109.0,0.23104825880763838,36.0,0.004503699443874529,0.316,0.75347,0.6725274725274725,0.5877192982456141
200.0,0.04488944128470366,250.0,0.014022872973923954,0.39,0.95,0.7912087912087912,0.8771929824561403
200.0,0.7918629071568206,250.0,0.009802878051109076,0.123,0.9981,0.7362637362637363,0.8245614035087719
77.0,0.12690160064333075,29.0,0.0063748284181563775,0.732,0.94256,0.6373626373626373,0.5877192982456141
97.0,0.07792637965053155,137.0,0.04298942140667307,0.517,0.92617,0.7032967032967032,0.5877192982456141
112.0,0.00023777779753725582,32.0,0.0900167232729119,0.342,0.99788,0.6395604395604395,0.5877192982456141
114.0,0.04668304757225996,118.0,0.006226656384237334,0.197,0.65928,0.8637362637362637,0.8596491228070176
192.0,0.0008379999640516469,167.0,0.07606640650590434,0.708,0.99512,0.6835164835164835,0.41228070175438597
76.0,0.2311992920992705,249.0,0.04371373347267274,0.192,0.98835,0.712087912087912,0.5877192982456141
115.0,0.04693348461942791,50.0,0.07606640650590434,0.771,0.9981,0.6373626373626373,0.5964912280701754
126.0,0.024615870585338474,22.0,0.0011743276861417296,0.332,0.82044,0.9054945054945055,0.8859649122807017
156.0,0.004139948131739293,35.0,0.00944519437926742,0.674,0.93456,0.6813186813186813,0.5877192982456141
200.0,0.002037989771555181,106.0,0.07174859483154335,0.473,0.90552,0.701098901098901,0.5877192982456141
167.0,0.0029965925813299527,18.0,0.0024282421867528876,0.358,0.92943,0.7450549450549451,0.8859649122807017
163.0,0.035259893807730584,18.0,0.0002674140367834459,0.697,0.89005,0.9164835164835166,0.9035087719298246
200.0,0.2057847558999152,27.0,0.003496589104839699,0.899,0.91045,0.6351648351648351,0.5877192982456141
69.0,0.6105402497416879,120.0,0.004393970127154052,0.474,0.97209,0.6373626373626373,0.5877192982456141
200.0,0.028293918615978974,14.0,0.09012550267256038,0.648,0.96273,0.6395604395604395,0.5877192982456141
129.0,0.03364005521853548,16.0,0.00413481420874588,0.112,0.9971,0.6373626373626373,0.5877192982456141
