max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
7.0,0.011265210225126,0.274831238939354,0.054422714725212006,0.069008212877464,0.036168510137228,1.0031787479507257,0.8375528864066757
4.0,0.172123011285296,0.14982733683726102,0.028248176259675004,0.17360272472826802,0.07840682962187401,0.8129659455539547,0.7641503009399319
3.0,0.10590453897230101,0.092219932823457,0.21250560448987502,0.5060846317508411,0.068447432971658,0.8129659455539547,0.7641503009399319
13.0,0.014419271426492,0.25262304506085204,0.012892792521465002,0.07151151593956201,0.01455982567691,1.0031787479507257,0.8375528864066757
3.0,0.15519793585483901,0.11300600030211701,0.015162093706799001,0.027520151502054002,0.039018899440327,0.8129659455539547,0.7641503009399319
5.0,0.5123,0.1979,0.3187,0.4746,0.1579,0.9238294127270155,0.8375528864066757
6.0,0.4198,0.2371,0.0117,0.0905,0.2154,1.0031787479507257,0.8375528864066757
5.0,0.1436,0.2507,0.0101,0.0317,0.0956,1.0031787479507257,0.8375528864066757
4.0,0.3667,0.0703,0.0206,0.6924,0.1611,0.8374191878741813,0.7641503009399319
7.0,0.2501,0.2085,0.0149,0.0889,0.0569,0.9842191633064686,0.8375528864066757
5.0,0.2324,0.1607,0.0227,0.1439,0.0372,0.8074407830185372,0.764150300939932
5.0,0.1276,0.0625,0.0115,0.0192,0.0416,0.8129659455539547,0.7641503009399319
4.0,0.8499,0.0038,0.0101,0.0196,0.0288,0.6581982019325834,0.8151148879908714
6.0,0.9899,0.0001,0.0101,0.0101,0.0101,0.8091840524427095,0.891565429078652
4.0,0.5546,0.0746,0.0101,0.0133,0.0101,0.8152815212431417,0.764150300939932
11.0,0.6925,0.005,0.015,0.3925,0.2475,0.7757552651958445,0.7470510040744716
4.0,0.4346,0.3,0.0101,0.0101,0.0101,1.0031787479507257,0.8375528864066757
11.0,0.5447,0.0325,0.0101,0.02,0.0101,0.7016644131225449,0.8241107578178154
9.0,0.5355,0.2815,0.0153,0.125,0.1475,1.0031787479507257,0.8375528864066757
11.0,0.9899,0.0001,0.0101,0.0101,0.0101,0.8168840728681847,0.9337232452490359
9.0,0.7536,0.305,0.0114,0.0279,0.0919,1.0031787479507257,0.8375528864066757
9.0,0.3084,0.2334,0.0101,0.0101,0.0101,1.0031787479507257,0.8375528864066757
9.0,0.67,0.001,0.0101,0.0101,0.0101,0.8836933080598215,0.8880612019568465
15.0,0.5486,0.2384,0.0101,0.0382,0.0101,1.0031787479507257,0.8375528864066757
10.0,0.2267,0.0252,0.0104,0.0133,0.0472,0.7134101513367096,0.8259999677609675
4.0,0.6956,0.0146,0.0101,0.0101,0.0101,0.6717554925901686,0.8418425896351631
4.0,0.8499,0.0038,0.0112,0.0101,0.0101,0.6277154026609001,0.7410535528179735
9.0,0.4471,0.0001,0.0101,0.0101,0.0101,0.8491296966901378,1.0800514305406106
12.0,0.2876,0.17,0.0102,0.0102,0.0175,0.8074407830185372,0.764150300939932
7.0,0.2984,0.0401,0.0101,0.0104,0.0497,0.7114263652987722,0.8259999677609675
