hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score
200.0,3.938620672443622,41.0,0.099120175266208,0.16799104738110301,0.015472833880662002,0.9861262406242304,0.8067011387365688
108.0,0.10434609979357301,235.0,0.024279719592336,0.199039332673625,0.037446959101,1.018708470483093,0.8676425776933726
117.0,0.00023848621577000003,138.0,0.045273919917888004,0.27307645938327,0.019584322761279003,1.0142798801001511,0.8399846281792243
191.0,0.468096526017641,182.0,0.016256611075126,0.12261807012299801,0.035828819856501,0.966770669154122,0.8239669015006035
180.0,0.9438031971786861,209.0,0.00012365164457100002,0.11390227044541101,0.10263435748586001,0.9938965801026824,0.8297357132177099
88.0,0.04317908151602905,123.0,0.00032131122656556423,0.894,0.81234,1.069929324935317,0.9078227239914856
136.0,0.00016388058289707402,16.0,1.6186185005454763e-05,0.11,0.67912,1.1467143579296384,1.004231636750919
158.0,0.05170978118305294,119.0,0.008141750696782746,0.192,0.12749,1.0093837702427033,0.8382415285102048
59.0,0.07552802006485837,21.0,0.00509101996295203,0.174,0.32157,1.0034015879928466,0.8363531345810337
75.0,0.010826094158764257,15.0,0.07035064766358586,0.177,0.45237,0.6543751931109281,0.5711569171550066
72.0,0.004619174829345657,16.0,0.029782016506661447,0.21,0.81384,0.610117921855445,0.5544088473204326
200.0,0.009161093169610009,26.0,0.05263144575545104,0.567,0.47026,0.9997585721073701,0.8213881149451225
128.0,0.02594561085267283,15.0,0.037656322088817924,0.182,0.12546,0.8233155241505752,0.6949911830870389
54.0,0.0013760794206491428,49.0,0.0010852894967471785,0.639,0.25845,1.0175182531938878,0.8394369577000664
77.0,0.018570350467240256,67.0,0.006705767628942958,0.356,0.23329,1.0258470331846792,0.8585294488726953
141.0,0.0578465549950328,14.0,0.05099447206682175,0.488,0.40636,0.9434560876091119,0.8728786540036624
110.0,0.0034975553816035147,17.0,0.05195440793157418,0.167,0.13072,0.7452038283535283,0.6279939374287652
57.0,0.01005087333788888,16.0,0.05158643310128331,0.106,0.21267,0.687864644036798,0.5986330585939215
174.0,0.0030429260629892077,17.0,0.03378782218832515,0.212,0.52749,0.8136258566627201,0.6763896134526776
115.0,0.0021464427032870555,42.0,0.00010041668958885951,0.872,0.76749,1.040731555761489,0.8714265478672715
96.0,0.007438433761232937,21.0,0.0020763673922492287,0.191,0.68529,1.015257069831327,0.8757840074159928
70.0,0.0035247198148998615,12.0,0.006956101333620873,0.588,0.34695,0.9917111805877854,0.8269432352557071
61.0,0.0082210218029895,17.0,0.07461038826147194,0.305,0.40245,0.8453720444912814,0.7131394057338967
78.0,0.009073561767586866,16.0,0.09885246422211617,0.173,0.16889,0.6572209274445062,0.5625554467739298
87.0,0.020570871912677844,13.0,0.00013369162435366208,0.157,0.62871,1.0530081447690407,0.87426134660096
171.0,0.00987263770377208,12.0,0.036542436419286395,0.251,0.93523,0.5016920760347772,0.5513068214863732
168.0,0.008245340594968968,15.0,0.06658769781921574,0.108,0.32175,0.5677816858075778,0.5415682039566586
153.0,0.0024821544407576846,13.0,0.04226602445665984,0.406,0.60047,0.8868639433630634,0.7241399575868279
55.0,0.014863120542131202,40.0,0.0029725262602201034,0.132,0.50123,0.9798417795229014,0.8288182222685917
78.0,0.06581566897713254,22.0,0.014824095358755444,0.274,0.57491,0.9798259838677728,0.7884919368160423
