max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
9.0,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,0.9305968797093168,0.7759642321565792
7.0,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,1.0043711746891228,0.8375444328238856
9.0,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.5647233482240218,0.6218475402836945
12.0,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,1.0043711746891228,0.8375444328238856
3.0,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,1.0043711746891228,0.8375444328238856
9.0,0.2881,0.1328,0.0101,0.0174,0.0101,0.6897333322990242,0.6742532433572559
10.0,0.8672,0.0387,0.0159,0.0864,0.0369,0.534695351115887,0.6333627496117316
10.0,0.9899,0.0001,0.0101,0.0101,0.0101,0.5500231194899893,0.665655625094555
12.0,0.6301,0.0001,0.0101,0.0101,0.0101,0.5391405467764617,0.6157847005154325
14.0,0.5544,0.0001,0.0101,0.0382,0.0178,0.5319582921379815,0.596566873273805
15.0,0.685,0.0001,0.0101,0.0101,0.0101,0.545192729521659,0.5953575864831508
12.0,0.4673,0.1159,0.0182,0.1283,0.1754,0.6774506234476755,0.6455153315732998
11.0,0.4378,0.0772,0.0101,0.0101,0.0101,0.5912871173377204,0.614501099371043
11.0,0.5639,0.1318,0.0101,0.0175,0.0101,0.6099020123698937,0.629712417615395
12.0,0.23,0.014,0.0101,0.111,0.0101,0.5703981636771398,0.5917372807665986
11.0,0.1927,0.0001,0.0101,0.0101,0.0101,0.5903666217584743,0.6645978805702508
13.0,0.5335,0.0386,0.0115,0.2471,0.0122,0.5643221002109052,0.623206188143373
14.0,0.7075,0.0001,0.0101,0.0101,0.0101,0.5398225275049098,0.6599269282210278
11.0,0.3291,0.0019,0.0208,0.0533,0.0315,0.539379691131297,0.5583288656550581
14.0,0.2626,0.0016,0.0101,0.0182,0.0101,0.541416565679658,0.6379012826616017
12.0,0.2977,0.0353,0.0193,0.0179,0.0271,0.6130084999947513,0.6383889302781687
14.0,0.1175,0.0001,0.0101,0.0124,0.0101,0.5883316860734018,0.6645978805702508
15.0,0.2424,0.0001,0.0101,0.0101,0.0101,0.5519422382488391,0.6578242019912066
11.0,0.2619,0.0117,0.0101,0.0112,0.0101,0.5600121144349162,0.6131011937113714
13.0,0.3799,0.0001,0.0123,0.0414,0.0293,0.5331161842148704,0.5668660501240542
15.0,0.1111,0.1667,0.0101,0.0101,0.0101,0.8988717184404986,0.7949868137531776
10.0,0.501,0.1248,0.0101,0.0101,0.0101,0.605650501594587,0.629712417615395
9.0,0.5788,0.0945,0.0102,0.1301,0.0178,0.571899186696921,0.6096594994305069
11.0,0.1212,0.035,0.0104,0.0302,0.0111,0.7581088451698627,0.6935070751540086
9.0,0.1755,0.0498,0.0124,0.0224,0.0253,0.7950171628640207,0.7031769344082736
