max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
9.0,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,0.10716705381339528,0.08055555555555556
7.0,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,0.10716705381339528,0.08055555555555556
9.0,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.2769623499806427,0.2361111111111111
12.0,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,0.10716705381339528,0.08055555555555556
3.0,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,0.10716705381339528,0.08055555555555556
13.0,0.9568,0.0085,0.0156,0.0137,0.1532,0.43771777003484325,0.3888888888888889
12.0,0.9841,0.2161,0.0101,0.0101,0.0101,0.10716705381339528,0.08055555555555556
14.0,0.9882,0.0001,0.0101,0.0101,0.0101,0.8072130274874179,0.7888888888888889
12.0,0.8725,0.0001,0.0101,0.0101,0.0101,0.786333720480062,0.7805555555555556
13.0,0.9869,0.0235,0.0113,0.0582,0.0286,0.7098020712349979,0.6416666666666667
11.0,0.8657,0.0012,0.0169,0.0202,0.2022,0.34864740611691836,0.3194444444444444
15.0,0.9125,0.0001,0.0101,0.0111,0.0502,0.7181378242353853,0.675
12.0,0.961,0.0114,0.0112,0.0335,0.0148,0.7710511033681764,0.7388888888888889
11.0,0.8544,0.0001,0.0101,0.0101,0.0101,0.7919062137049943,0.8
9.0,0.6667,0.0001,0.0101,0.0101,0.0101,0.7891211769260549,0.8055555555555556
13.0,0.9899,0.0001,0.0101,0.0101,0.0101,0.8072130274874179,0.7888888888888889
12.0,0.8741,0.0593,0.0125,0.0385,0.0254,0.20876403406891214,0.15555555555555556
12.0,0.9599,0.0001,0.0101,0.0101,0.0101,0.8058144599303135,0.7972222222222223
9.0,0.95,0.0001,0.0101,0.0545,0.0101,0.7773180410375533,0.7527777777777778
15.0,0.9435,0.0001,0.0101,0.0101,0.0101,0.8009606078203639,0.7888888888888889
10.0,0.981,0.001,0.018,0.012,0.018,0.7731126596980256,0.7722222222222223
12.0,0.8596,0.0017,0.0119,0.0243,0.0195,0.7543650793650793,0.7611111111111111
10.0,0.7299,0.0435,0.0101,0.0285,0.0287,0.5336382113821139,0.5416666666666666
14.0,0.9725,0.0001,0.0111,0.0101,0.0101,0.800271002710027,0.7944444444444444
15.0,0.9888,0.0001,0.0101,0.0101,0.0101,0.8072130274874179,0.7888888888888889
13.0,0.9627,0.0001,0.0101,0.0106,0.0101,0.8058144599303135,0.7972222222222223
13.0,0.9832,0.0001,0.0101,0.0101,0.0101,0.8044304103755323,0.7888888888888889
15.0,0.9896,0.0001,0.0101,0.0101,0.0101,0.8072130274874179,0.7888888888888889
15.0,0.9,0.0001,0.0101,0.0101,0.0101,0.8009630274874178,0.7944444444444444
15.0,0.9536,0.0001,0.0101,0.0101,0.0101,0.8058144599303135,0.7972222222222223
