max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
7.0,0.011265210225126,0.274831238939354,0.054422714725212006,0.069008212877464,0.036168510137228,0.10577574525745259,0.08055555555555556
4.0,0.172123011285296,0.14982733683726102,0.028248176259675004,0.17360272472826802,0.07840682962187401,0.10577574525745259,0.08055555555555556
3.0,0.10590453897230101,0.092219932823457,0.21250560448987502,0.5060846317508411,0.068447432971658,0.10577574525745259,0.08055555555555556
13.0,0.014419271426492,0.25262304506085204,0.012892792521465002,0.07151151593956201,0.01455982567691,0.10577574525745259,0.08055555555555556
3.0,0.15519793585483901,0.11300600030211701,0.015162093706799001,0.027520151502054002,0.039018899440327,0.10577574525745259,0.08055555555555556
6.0,0.3099,0.0787,0.0563,0.2266,0.1645,0.10577574525745259,0.08055555555555556
8.0,0.1385,0.0699,0.0387,0.0334,0.0188,0.16633033294618663,0.08055555555555556
12.0,0.43,0.0174,0.0151,0.0111,0.0634,0.8427313201703445,0.7888888888888889
12.0,0.82,0.0001,0.0125,0.0225,0.0125,0.8698606271777003,0.8888888888888888
13.0,0.9641,0.0001,0.0101,0.0344,0.0295,0.8538424312814558,0.8416666666666667
14.0,0.6482,0.0002,0.0198,0.0485,0.0276,0.8691589237320944,0.8583333333333333
14.0,0.5469,0.0001,0.0101,0.0101,0.0101,0.8976916376306621,0.9111111111111111
14.0,0.9899,0.0001,0.0101,0.0101,0.0101,0.8844754161827332,0.875
15.0,0.9899,0.0001,0.0101,0.0101,0.0101,0.8844754161827332,0.875
15.0,0.5371,0.0001,0.0101,0.0101,0.0101,0.9004718350754937,0.9027777777777778
15.0,0.8358,0.0001,0.0101,0.0101,0.0101,0.8949186991869919,0.8805555555555555
15.0,0.21,0.0177,0.0111,0.1668,0.0467,0.7946985094850948,0.7138888888888889
15.0,0.5733,0.0001,0.0101,0.0101,0.0101,0.9032738095238095,0.8888888888888888
14.0,0.2314,0.0001,0.0101,0.0101,0.0101,0.8991095625241968,0.925
15.0,0.5958,0.0001,0.0101,0.0101,0.0101,0.8976892179636081,0.8861111111111111
15.0,0.6499,0.0001,0.0101,0.0101,0.0101,0.8921312427409989,0.8833333333333333
15.0,0.68,0.0001,0.0125,0.0325,0.0125,0.8719415408439799,0.8472222222222222
15.0,0.117,0.018,0.0123,0.0342,0.0123,0.8677918118466899,0.8416666666666667
15.0,0.4667,0.0001,0.0117,0.0117,0.0117,0.8851698606271776,0.8694444444444445
15.0,0.68,0.0001,0.0101,0.0101,0.0101,0.8956058846302749,0.8888888888888888
13.0,0.4565,0.0001,0.0101,0.0101,0.0101,0.9004887727448704,0.8722222222222222
15.0,0.5545,0.0001,0.0105,0.0105,0.0126,0.897004452187379,0.9166666666666666
15.0,0.1581,0.0001,0.0199,0.0199,0.0101,0.8817145760743321,0.8361111111111111
15.0,0.1046,0.027,0.0129,0.0107,0.0101,0.783558362369338,0.775
15.0,0.7128,0.0001,0.0101,0.0101,0.0101,0.8983860820751065,0.9083333333333333
