max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
9.0,0.258943323491781,0.14545236945647202,0.07301276842154,0.6053358137165971,0.32727366913738304,1.0060077506074872,0.9743257339578275
3.0,0.025916788312907002,0.025733601650414002,0.055597475198167004,0.011471547768812,0.059174926217381005,0.929684412023423,0.8878420843686666
10.0,0.035954977598076004,0.338127450990065,0.099695146946049,0.011165009283219,0.088018302545044,1.011005462116907,0.9743257339578275
5.0,0.06735821318219401,0.141762540885659,0.148435914494946,0.075680665183566,0.018413537756286,1.011005462116907,0.9743257339578275
9.0,0.360764343380227,0.153181766188089,0.023722057013521,0.059463312150988004,0.38253570233160905,1.0071352482168296,0.9743257339578275
6.0,0.3689,0.0001,0.0101,0.0101,0.0101,0.78585768233243,0.7304704959067644
6.0,0.6651,0.0299,0.0101,0.0111,0.0101,0.8193090463234398,0.7441461539188116
10.0,0.465,0.005,0.0101,0.0101,0.0101,0.768825909760612,0.6044618502815491
9.0,0.2612,0.0001,0.0101,0.0101,0.0101,0.6873476836872012,0.6913849063429595
9.0,0.1074,0.1198,0.0101,0.0101,0.0101,1.0069061250740576,0.9743257339578275
8.0,0.1501,0.025,0.0102,0.0101,0.0102,0.780252790948268,0.7542742164579539
10.0,0.4201,0.1641,0.0101,0.0329,0.0101,0.9823046853657417,0.9743257339578275
11.0,0.1413,0.0278,0.0101,0.0201,0.0101,0.8028306388652144,0.748846802004899
9.0,0.1932,0.0588,0.0101,0.0101,0.0101,0.9235968873400825,0.8331176136543842
12.0,0.216,0.0001,0.0101,0.0105,0.0101,0.7178213148162221,0.6869008114377393
15.0,0.9899,0.0001,0.0101,0.0101,0.0101,0.7745346057258884,0.6525400609811937
14.0,0.1257,0.0002,0.0179,0.0273,0.0179,0.8314901962144765,0.7829940951171713
11.0,0.1788,0.0001,0.0101,0.0101,0.0102,0.7720609920647321,0.6441594434652254
9.0,0.351,0.0221,0.0101,0.0101,0.0101,0.7796831120941037,0.7260153050009842
15.0,0.6948,0.1743,0.0101,0.0101,0.0101,0.9905139647415078,0.9743257339578275
6.0,0.1099,0.0249,0.0101,0.0101,0.0101,0.8660384663919082,0.8449028822494081
10.0,0.74,0.055,0.0101,0.0101,0.0101,0.8116794233600502,0.7517350481757786
12.0,0.214,0.0075,0.012,0.017,0.016,0.7549342082740104,0.6635631079974289
9.0,0.2168,0.0001,0.0101,0.0102,0.0101,0.6873476836872012,0.6913849063429595
12.0,0.1272,0.0201,0.0299,0.0199,0.0369,0.8922165772879662,0.8596708293288146
11.0,0.165,0.0001,0.0101,0.0101,0.0101,0.7720609920647321,0.6441594434652254
14.0,0.2382,0.0001,0.0101,0.0101,0.0101,0.7091612590093419,0.6810760406867729
11.0,0.4501,0.0001,0.0151,0.0135,0.0161,0.7860834209141424,0.6984507637908188
9.0,0.2193,0.0001,0.0101,0.0113,0.0101,0.6873476836872012,0.6913849063429595
9.0,0.3873,0.0767,0.0101,0.0101,0.0101,0.8433318631211749,0.8388100751631307
