n_estimators,learning_rate,score,generalization_score
27.0,4.546784063337942,0.9333333333333333,0.9666666666666667
95.0,0.02653050299604,0.9166666666666666,0.9
39.0,0.0005917433219460001,0.7833333333333333,0.5666666666666667
73.0,0.000397880553092,0.875,0.9666666666666667
54.0,0.145776880681752,0.9166666666666666,0.9
100.0,9.99997697417558,0.9333333333333333,0.9666666666666667
68.0,1.0189456040245295,0.9333333333333333,0.9
82.0,1.0016592362787005,0.925,0.9666666666666667
69.0,1.0404303204167322,0.925,0.9666666666666667
100.0,9.99995394840418,0.9333333333333333,0.9666666666666667
100.0,1.4676652110132973,0.9333333333333332,0.9666666666666667
97.0,1.6275150002402032,0.9416666666666667,0.9
77.0,1.7095507584230878,0.8833333333333334,0.9
98.0,3.4748575050984054,0.7833333333333334,0.9
100.0,4.14982707634191,0.9333333333333333,0.9666666666666667
98.0,2.1133333179462888,0.9083333333333334,0.8
73.0,3.3812166586487877,0.85,0.9
91.0,3.4512943462137424,0.85,0.9
89.0,1.0002348912621186,0.925,0.9666666666666667
60.0,9.887078902533622,0.9333333333333333,0.9666666666666667
100.0,6.132802797283828,0.9333333333333333,0.9666666666666667
100.0,1.642264102717334,0.9416666666666667,0.9666666666666667
54.0,1.8854803037292938,0.9166666666666667,0.9333333333333333
100.0,1.7301509677200066,0.9333333333333332,0.9666666666666667
82.0,1.671590906868656,0.9,0.9666666666666667
74.0,6.539687560388084,0.9333333333333333,0.9666666666666667
100.0,2.48561007162491,0.9166666666666667,0.9666666666666667
100.0,1.6334543432573303,0.9416666666666667,0.9333333333333333
98.0,3.2755784105418235,0.8166666666666667,0.9
100.0,1.0000690799386989,0.9333333333333333,0.9
