max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
15.0,0.12361635568470201,0.48634217998244206,0.161502478063277,0.24683810216787802,0.023186415725322002,0.36666666666666664,0.2
15.0,0.010290425114510001,0.126491181191721,0.054310392782503006,0.35922287866378605,0.021583731917407003,0.4166666666666667,0.2
13.0,0.917294948261656,0.08192112070234901,0.102237798808069,0.010421565748011001,0.045017488943327,0.9416666666666667,0.9666666666666667
2.0,0.8112044630651181,0.21807332343989802,0.401751700754077,0.370834301903653,0.291204965854912,0.6916666666666667,0.5333333333333333
3.0,0.014111397905356001,0.30037136068888404,0.019226752087066,0.29077647894117903,0.049017393208869005,0.36666666666666664,0.2
13.0,0.9151,0.0466,0.1008,0.0119,0.0449,0.9416666666666667,0.9666666666666667
13.0,0.9411,0.0001,0.0101,0.0101,0.0101,0.95,0.9666666666666667
14.0,0.9832,0.0001,0.0121,0.0105,0.0154,0.9416666666666667,0.9666666666666667
12.0,0.9479,0.0001,0.0101,0.0101,0.0101,0.95,0.9666666666666667
11.0,0.9378,0.0001,0.0101,0.0101,0.0101,0.95,0.9666666666666667
12.0,0.9546,0.0001,0.0101,0.0101,0.0101,0.95,0.9666666666666667
10.0,0.9827,0.0001,0.0101,0.0101,0.0101,0.95,0.9666666666666667
9.0,0.986,0.0001,0.0101,0.0101,0.0101,0.95,0.9666666666666667
14.0,0.9309,0.0001,0.0101,0.0135,0.0148,0.9416666666666667,0.9666666666666667
14.0,0.9516,0.0001,0.0101,0.0101,0.0101,0.95,0.9666666666666667
12.0,0.9495,0.0001,0.0101,0.0101,0.0101,0.95,0.9666666666666667
12.0,0.9492,0.0001,0.0101,0.0101,0.0101,0.95,0.9666666666666667
12.0,0.95,0.0001,0.0101,0.0101,0.0101,0.95,0.9666666666666667
12.0,0.9508,0.0001,0.0101,0.0101,0.0101,0.95,0.9666666666666667
12.0,0.9487,0.0001,0.0101,0.0101,0.0101,0.95,0.9666666666666667
12.0,0.9526,0.0001,0.0101,0.0101,0.0101,0.95,0.9666666666666667
12.0,0.95,0.0001,0.0102,0.0101,0.0101,0.95,0.9666666666666667
12.0,0.9506,0.0001,0.0101,0.0101,0.0101,0.95,0.9666666666666667
12.0,0.9475,0.0001,0.0101,0.0101,0.0101,0.95,0.9666666666666667
12.0,0.9498,0.0001,0.0101,0.0101,0.0101,0.95,0.9666666666666667
12.0,0.9486,0.0001,0.0101,0.0101,0.0101,0.95,0.9666666666666667
12.0,0.9531,0.0001,0.0101,0.0101,0.0101,0.95,0.9666666666666667
12.0,0.9501,0.0001,0.0101,0.0101,0.0101,0.95,0.9666666666666667
12.0,0.951,0.0001,0.0101,0.0101,0.0101,0.95,0.9666666666666667
12.0,0.9539,0.0001,0.0101,0.0101,0.0101,0.95,0.9666666666666667
