hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score
139.0,1.163039571448033,216.0,0.024491024634012003,0.39357815616936004,0.014222570771709001,0.4,0.2
95.0,2.1891618132748293e-05,75.0,0.0008140675984580001,0.5956702712389661,0.027524723274259002,0.30833333333333335,0.43333333333333335
109.0,1.03865802565003,91.0,0.003914600869268,0.224590680510133,0.74310397027772,0.55,0.5333333333333333
71.0,1.661588777011895,124.0,0.015982437247411,0.31380635630588305,0.108728553222819,0.2833333333333333,0.43333333333333335
158.0,0.031054086075930003,139.0,0.01082586226325,0.126200635206691,0.026338768980858,0.5833333333333333,0.4666666666666667
185.0,0.0011890962239931857,57.0,0.002667009115155799,0.731,0.76254,0.36666666666666664,0.2
173.0,0.0853167886287826,52.0,0.04131973237862652,0.215,0.59238,0.8833333333333334,0.8333333333333334
178.0,0.0028861407051437495,40.0,0.03740037872582239,0.135,0.91722,0.925,0.8333333333333334
164.0,0.002582464736794879,54.0,0.07336857768966769,0.317,0.997,0.9166666666666666,1.0
129.0,0.0038734557589982137,53.0,0.0071700717232637415,0.899,0.93019,0.5833333333333333,0.2
148.0,0.007315548602662611,35.0,0.0048838430639569115,0.488,0.70145,0.6916666666666667,0.5333333333333333
195.0,0.0169834180509609,16.0,0.006801631516437261,0.134,0.99452,0.9,0.6666666666666666
136.0,0.009589509638434931,13.0,0.0001962206002903578,0.141,0.96547,0.6,0.5666666666666667
122.0,0.08531649395554296,18.0,0.004233289798426609,0.457,0.98087,0.8916666666666666,0.8
184.0,0.008853738689438536,12.0,0.09013722840788065,0.479,0.99849,0.9166666666666666,1.0
199.0,0.003693653907881136,39.0,0.08094059637980434,0.213,0.99884,0.875,0.9666666666666667
121.0,0.00327655377486329,16.0,0.004566211253101274,0.636,0.98921,0.6833333333333333,0.9666666666666667
200.0,0.00010097765944712418,10.0,0.0029598690670060578,0.526,0.997,0.925,0.7
200.0,0.0007217840819423864,10.0,0.02686604265870454,0.5,0.9,0.925,0.8
200.0,0.00698807890308158,35.0,0.06036625028231863,0.746,0.99895,0.525,0.5666666666666667
196.0,0.004052603358452048,61.0,0.020403881847364747,0.128,0.981,0.9416666666666667,0.8333333333333334
191.0,0.001649835332045043,70.0,0.03722445945678177,0.105,0.99561,0.95,0.9666666666666667
197.0,0.001649835332045043,70.0,0.03722445945678177,0.105,0.99561,0.875,0.9666666666666667
191.0,0.001649835332045043,70.0,0.03722445945678177,0.105,0.99561,0.95,0.9666666666666667
191.0,0.001649835332045043,70.0,0.03722445945678177,0.105,0.99561,0.95,0.9666666666666667
192.0,0.0016501651083249695,69.0,0.037203028935432654,0.105,0.99562,0.8833333333333334,1.0
193.0,0.001649835332045043,70.0,0.03722445945678177,0.105,0.99561,0.8166666666666667,0.8666666666666667
191.0,0.001649835332045043,70.0,0.03722445945678177,0.105,0.99561,0.95,0.9666666666666667
191.0,0.001649835332045043,70.0,0.03722445945678177,0.105,0.99561,0.95,0.9666666666666667
200.0,0.001649835332045043,70.0,0.03722445945678177,0.105,0.99561,0.9333333333333332,0.7333333333333333
