max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
9.0,0.258943323491781,0.14545236945647202,0.07301276842154,0.6053358137165971,0.32727366913738304,0.85,0.6
3.0,0.025916788312907002,0.025733601650414002,0.055597475198167004,0.011471547768812,0.059174926217381005,0.95,0.9666666666666667
10.0,0.035954977598076004,0.338127450990065,0.099695146946049,0.011165009283219,0.088018302545044,0.7916666666666667,0.5666666666666667
5.0,0.06735821318219401,0.141762540885659,0.148435914494946,0.075680665183566,0.018413537756286,0.9166666666666667,0.9666666666666667
9.0,0.360764343380227,0.153181766188089,0.023722057013521,0.059463312150988004,0.38253570233160905,0.7666666666666667,0.6
12.0,0.2143,0.0001,0.0111,0.0101,0.0157,0.9333333333333332,0.9666666666666667
9.0,0.6469,0.0001,0.0101,0.0112,0.0101,0.9416666666666667,0.9666666666666667
10.0,0.2601,0.0001,0.0101,0.0167,0.0101,0.925,0.9666666666666667
15.0,0.5087,0.0001,0.0101,0.012,0.0101,0.9416666666666667,0.9666666666666667
15.0,0.3014,0.0001,0.0101,0.0101,0.0101,0.925,0.9666666666666667
15.0,0.5376,0.0001,0.0101,0.0113,0.0101,0.9416666666666667,0.9666666666666667
14.0,0.7145,0.0001,0.0101,0.0111,0.0101,0.9416666666666667,0.9666666666666667
14.0,0.65,0.0001,0.0133,0.0121,0.0122,0.95,0.9666666666666667
14.0,0.7284,0.0001,0.0101,0.0109,0.0101,0.9416666666666667,0.9666666666666667
14.0,0.6524,0.0001,0.0101,0.011,0.0101,0.9416666666666667,0.9666666666666667
13.0,0.6969,0.0001,0.0101,0.0101,0.0101,0.9416666666666667,0.9666666666666667
15.0,0.7468,0.0001,0.0101,0.012,0.0101,0.9416666666666667,0.9666666666666667
10.0,0.4525,0.0014,0.021,0.0108,0.021,0.95,0.9666666666666667
10.0,0.4639,0.0001,0.0112,0.0116,0.0112,0.9333333333333332,0.9666666666666667
10.0,0.1247,0.0101,0.0101,0.022,0.0101,0.9333333333333332,0.9666666666666667
11.0,0.9075,0.0001,0.0101,0.0101,0.0101,0.9333333333333332,1.0
9.0,0.2488,0.0023,0.0195,0.0634,0.0216,0.9416666666666667,0.9666666666666667
13.0,0.6666,0.0001,0.0156,0.0112,0.0156,0.95,0.9666666666666667
14.0,0.5039,0.0001,0.0125,0.0107,0.0125,0.95,0.9666666666666667
13.0,0.5501,0.0001,0.0102,0.011,0.0102,0.9416666666666667,0.9666666666666667
13.0,0.9366,0.0002,0.0102,0.03,0.0102,0.9333333333333332,1.0
12.0,0.4215,0.0001,0.0102,0.0117,0.0102,0.925,0.9666666666666667
14.0,0.503,0.0001,0.0101,0.0112,0.0101,0.9416666666666667,0.9666666666666667
14.0,0.5029,0.0001,0.0101,0.0101,0.0101,0.9416666666666667,0.9666666666666667
13.0,0.8731,0.0001,0.0101,0.0101,0.0101,0.9333333333333332,1.0
