max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
15.0,0.12361635568470201,0.48634217998244206,0.161502478063277,0.24683810216787802,0.023186415725322002,1.01336634149759,0.9873821970564294
15.0,0.010290425114510001,0.126491181191721,0.054310392782503006,0.35922287866378605,0.021583731917407003,1.0133663414975902,0.9873821970564294
13.0,0.917294948261656,0.08192112070234901,0.102237798808069,0.010421565748011001,0.045017488943327,1.0538703095809638,1.0070444316333977
2.0,0.8112044630651181,0.21807332343989802,0.401751700754077,0.370834301903653,0.291204965854912,1.0133663414975902,0.9873821970564294
3.0,0.014111397905356001,0.30037136068888404,0.019226752087066,0.29077647894117903,0.049017393208869005,1.0133663414975902,0.9873821970564294
15.0,0.9899,0.0001,0.0101,0.0101,0.0101,1.4932503058402185,1.5213804336467234
11.0,0.2513,0.4982,0.0101,0.0101,0.0101,1.01336634149759,0.9873821970564294
10.0,0.5733,0.0001,0.0101,0.0101,0.0101,1.3545439257057628,1.4597569921723075
11.0,0.3056,0.0657,0.0101,0.0101,0.0101,1.0475556236249919,0.958526214552895
10.0,0.2967,0.0001,0.0101,0.2102,0.0101,1.173073283472235,0.9907769005120719
7.0,0.2302,0.3948,0.0101,0.0101,0.0101,1.01336634149759,0.9873821970564294
9.0,0.221,0.003,0.0101,0.0101,0.0101,1.3650395823422579,1.2412854958407067
8.0,0.2156,0.3979,0.0101,0.0101,0.0101,1.01336634149759,0.9873821970564294
12.0,0.9755,0.0001,0.0101,0.0101,0.0101,1.4939257264635328,1.5213804336467234
7.0,0.3781,0.0001,0.0101,0.0101,0.0101,1.1983634353212003,1.2339221029980354
6.0,0.8244,0.0285,0.0101,0.2616,0.0191,1.1096385175700783,1.1247065463523236
8.0,0.1273,0.2698,0.0493,0.0125,0.0527,1.01336634149759,0.9873821970564294
9.0,0.2325,0.2212,0.0105,0.0142,0.025,1.01336634149759,0.9873821970564294
13.0,0.5123,0.0001,0.0117,0.0117,0.0117,1.32759119421437,1.1329402644602604
15.0,0.9641,0.4918,0.0101,0.0101,0.0101,1.01336634149759,0.9873821970564294
15.0,0.1289,0.0001,0.0105,0.0101,0.0101,1.4792671613838237,1.128513324730037
11.0,0.5654,0.3456,0.0101,0.0101,0.0101,1.01336634149759,0.9873821970564294
9.0,0.6301,0.045,0.0101,0.0101,0.0101,1.2314478102594753,1.0104081604290887
11.0,0.1749,0.2687,0.0152,0.0994,0.0339,1.01336634149759,0.9873821970564294
11.0,0.1748,0.0001,0.0105,0.0101,0.0101,1.3492291139443933,1.2128274608779404
15.0,0.4338,0.1151,0.0151,0.0101,0.0388,1.0573304689880012,0.9873821970564294
9.0,0.9899,0.0001,0.0101,0.0101,0.0101,1.435449149240959,1.3483314598711156
6.0,0.2816,0.3862,0.0102,0.0321,0.034,1.01336634149759,0.9873821970564294
15.0,0.2324,0.0001,0.0101,0.0102,0.0101,1.4378314556510303,1.0868541378107863
11.0,0.2566,0.0001,0.0101,0.0172,0.0101,1.4975485345319361,1.115453092478672
