hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score
139.0,1.163039571448033,216.0,0.024491024634012003,0.39357815616936004,0.014222570771709001,1.1783670811526554,1.252308943336623
95.0,2.1891618132748293e-05,75.0,0.0008140675984580001,0.5956702712389661,0.027524723274259002,1.4331788635858869,1.29939542127074
109.0,1.03865802565003,91.0,0.003914600869268,0.224590680510133,0.74310397027772,1.0579369555440192,1.1257812569299535
71.0,1.661588777011895,124.0,0.015982437247411,0.31380635630588305,0.108728553222819,1.1016498295745802,1.1271959530490834
158.0,0.031054086075930003,139.0,0.01082586226325,0.126200635206691,0.026338768980858,1.1327532558201407,1.0105859894740246
95.0,1.008585220846143,32.0,0.03378382353910088,0.864,0.9502,1.1337263987072026,1.1705745718111908
136.0,1.0261787096216928,24.0,0.0032223692161269797,0.301,0.87731,1.068883711249742,1.0375321881154678
105.0,1.3135188208900561,67.0,0.0006686485389874898,0.224,0.99335,1.0839812995047393,1.0204049528119743
179.0,1.1694891581515556,14.0,0.0004255293303934743,0.248,0.70628,1.1453495499738826,1.1172111256572381
70.0,0.07074855922526073,40.0,0.07961236033391415,0.175,0.40792,1.076668333984116,1.03103323562746
60.0,1.0908232851695912,15.0,7.745261763154448e-05,0.479,0.42874,1.167241916167391,1.1161238929476918
102.0,0.30944651784071264,174.0,0.07849266959175416,0.152,0.52767,1.0777671508227642,1.054073241593811
200.0,0.997161494897956,50.0,0.0075256375849586405,0.567,0.50001,1.1457049845276122,1.1297783331305704
64.0,0.004185780977676263,38.0,0.004834834361414353,0.522,0.92667,1.1168926508223278,1.0764552291568263
88.0,0.003783869937194759,14.0,0.0006358572098136725,0.414,0.86271,1.2728843935717942,1.1345509705250232
132.0,0.009159247613334396,28.0,0.07258498643475617,0.56,0.64847,1.1099715609815357,1.0665110862390912
128.0,1.2179543195357825,56.0,0.0492181403084578,0.19,0.6032,1.0635233994667976,1.0567379318462247
53.0,0.07525637584958644,158.0,0.003269970238764582,0.685,0.37321,1.2706999684650113,1.1990492620721804
200.0,1.1382422447834122,17.0,0.004511501436637996,0.823,0.51231,1.1352172899425144,1.1187726112042744
109.0,1.1555706425655285,20.0,0.0005587718256098015,0.194,0.72319,1.057995514334745,1.1212314469614995
200.0,1.1567662257910944,17.0,0.0039969084429071116,0.252,0.70004,1.0924908659567751,1.0639109058015181
54.0,0.7314908533085436,102.0,0.0002772527101002301,0.293,0.84679,1.2919910745964218,1.2829159804955317
200.0,9.421815596793653,29.0,0.018032211808229327,0.354,0.58763,1.0599388791256623,1.0387153343714612
200.0,0.9648157845819084,30.0,0.05533259011667398,0.345,0.87997,1.0843988334148231,1.0621809573972194
200.0,0.1640896542798493,20.0,0.005194253008563086,0.512,0.91952,1.0812600240989565,1.070248463927877
200.0,2.1318090423776757,13.0,0.00016508362621828822,0.793,0.89954,1.159523493901648,1.1593889292710273
148.0,2.999999622009987,13.0,0.08442354801088897,0.694,0.9822,1.0214900893921204,1.2070964841005287
137.0,0.008376868539630652,16.0,0.001832838082516246,0.207,0.99851,1.1361224692405893,1.1259188983904136
200.0,0.2826926389385568,15.0,0.00018159809986144156,0.734,0.98814,1.1348484068549676,1.0773303241658985
200.0,0.35065505175776374,16.0,0.0044773217000687385,0.219,0.9898,1.064019693437094,1.0592027003421927
