max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
9.0,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,1.0114978595617456,0.9855093540248692
7.0,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,1.0114978595617456,0.9855093540248692
9.0,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.9277718641585352,0.9078070471900236
12.0,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,1.0114978595617456,0.9855093540248692
3.0,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,1.0114978595617456,0.9855093540248692
10.0,0.481,0.201,0.012,0.024,0.214,0.9881221742771057,0.9746923866551114
10.0,0.9899,0.0001,0.0101,0.0101,0.0101,0.811941717681627,0.6668504125708867
10.0,0.7199,0.0001,0.0101,0.0101,0.0101,0.7663801282702714,0.6956826328529757
11.0,0.7801,0.0002,0.0122,0.0113,0.0122,0.7522469656977131,0.6398135416185015
15.0,0.5661,0.0001,0.0101,0.0101,0.0101,0.7640965947317693,0.6659009043921996
15.0,0.6899,0.0002,0.0102,0.0104,0.0588,0.7740818295612437,0.7277587360824085
15.0,0.2881,0.022,0.0101,0.0176,0.0101,0.7926762522793454,0.7202958423811168
15.0,0.9899,0.0001,0.0101,0.0101,0.0101,0.8169611691579111,0.6480481739978617
9.0,0.5624,0.003,0.0101,0.0101,0.2675,0.9290662667575076,0.8991438837162161
11.0,0.7247,0.0002,0.0115,0.0101,0.0122,0.7419258167826872,0.7075886138416932
11.0,0.5439,0.0001,0.0101,0.0101,0.0101,0.7708908383655637,0.6758238956399264
9.0,0.5479,0.0001,0.0101,0.0101,0.0101,0.7703741007613104,0.6500370445187869
9.0,0.5502,0.0096,0.0101,0.0101,0.0101,0.7779097911772851,0.7040410312294658
12.0,0.5257,0.1499,0.0101,0.0264,0.0101,0.9595254152453825,0.9405397704378222
12.0,0.61,0.1,0.0101,0.0101,0.0101,0.9004996643994284,0.8656299379769041
13.0,0.3124,0.0063,0.0137,0.0181,0.0166,0.7756096602308373,0.6513778591469165
10.0,0.3001,0.0101,0.0101,0.0101,0.0101,0.768040873801451,0.6629842694955562
10.0,0.5289,0.06,0.0101,0.0102,0.0101,0.8150713294430929,0.7904882171764427
11.0,0.5138,0.0102,0.0116,0.0271,0.0157,0.787867275391257,0.6812707841679039
11.0,0.544,0.0002,0.0102,0.0104,0.0122,0.7693581742537134,0.6758238956399264
14.0,0.1467,0.0001,0.0101,0.0102,0.0101,0.7297556716213917,0.7347761691739474
15.0,0.51,0.1,0.0101,0.0101,0.0101,0.9053394198142012,0.8742141100262014
13.0,0.4721,0.0989,0.0106,0.0175,0.0104,0.9010669836034187,0.8718667206631209
13.0,0.1123,0.0024,0.0116,0.0113,0.0147,0.7440804221007769,0.6857733368518432
8.0,0.5291,0.018,0.0101,0.0103,0.0101,0.7683860909734362,0.7235446751847531
