max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
7.0,0.27384505982301605,5.7187408672443325e-05,0.032434060996912005,0.019627781772875,0.01432419850735,0.7248159173496391,1.091061250036565
4.0,0.048934273926388,0.19838373711533402,0.081415282032941,0.068637163305826,0.143931321718827,1.0127954795039706,1.0723003455778215
4.0,0.56546022421217,0.013693796598963002,0.13590065737339302,0.06804373593266101,0.087962053186335,0.9732429215313573,1.1183101817007906
3.0,0.024850681527716002,0.40037228433776806,0.43306383724353503,0.042216314909836,0.147965672086171,1.0127954795039706,1.0723003455778215
13.0,0.609970094480184,0.042522105684888005,0.011641534821384001,0.02182325676209,0.304953075049531,0.9485399538965223,1.0982481489546356
11.0,0.2467,0.0002,0.0114,0.0678,0.2456,0.9559077777273565,1.0898144589884309
8.0,0.2475,0.0015,0.0123,0.0843,0.051,1.0374419450028178,0.9951241813501528
10.0,0.1297,0.0001,0.0101,0.0141,0.0121,1.191066812781123,1.0757143585561106
7.0,0.1045,0.0002,0.0111,0.0198,0.0116,1.033072380994099,1.0864280699726396
6.0,0.2811,0.0001,0.0102,0.0189,0.0103,0.9088891759880617,1.0681449940260928
8.0,0.9711,0.0001,0.0101,0.0189,0.0103,0.9373089761672728,1.2913148540139445
6.0,0.22,0.021,0.012,0.029,0.12,1.046146068196191,1.0307986140419048
15.0,0.9899,0.0001,0.0101,0.0101,0.0101,1.0064942865839335,1.3585293821151976
10.0,0.9899,0.0001,0.0102,0.011,0.0103,0.9417254475699753,1.30871963109683
7.0,0.3799,0.0131,0.0101,0.0667,0.0199,1.0123600023366663,1.0106422402863025
6.0,0.1,0.1,0.1,0.1,0.1,0.9375651550551611,1.0884641963096116
9.0,0.4589,0.0766,0.0245,0.0178,0.0112,0.8803985284228754,1.0929704671460032
8.0,0.4767,0.0099,0.0155,0.0323,0.0267,1.0499234596054177,1.101479266513852
9.0,0.1688,0.0001,0.0116,0.0101,0.0116,1.1360877750367708,1.0399935339010273
5.0,0.2343,0.0003,0.0103,0.0123,0.0102,0.9099997014452998,1.1415365243332127
6.0,0.9899,0.0001,0.0101,0.0101,0.0101,0.9823137556628012,1.2665349267664758
10.0,0.1124,0.0002,0.0101,0.0295,0.0103,1.0514146471338779,1.0757143585561106
7.0,0.7412,0.1632,0.0123,0.0195,0.0223,0.993758026177084,1.0623733102671715
9.0,0.3955,0.1051,0.0119,0.12,0.0376,0.9007321770305085,1.0623733102671715
9.0,0.4444,0.0844,0.0101,0.0101,0.0101,0.8934951218051552,1.0929704671460032
5.0,0.3896,0.1296,0.0496,0.3446,0.3246,1.0127954795039702,1.0723003455778213
9.0,0.2656,0.0057,0.0102,0.0104,0.0101,0.8860361954850727,1.2646901530707284
6.0,0.1674,0.0074,0.0101,0.0113,0.0101,0.9418312057340247,1.0873298415009867
12.0,0.3145,0.1097,0.0224,0.0352,0.0101,0.87127838025282,1.0623733102671715
7.0,0.2738,0.0001,0.0324,0.0196,0.0143,0.7248159173496391,1.091061250036565
