max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
9.0,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,0.38743842364532016,0.4444444444444444
7.0,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,0.38743842364532016,0.4444444444444444
9.0,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.873399014778325,0.8888888888888888
12.0,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,0.38743842364532016,0.4444444444444444
3.0,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,0.548768472906404,0.5277777777777778
6.0,0.6732,0.1621,0.014,0.021,0.2554,0.8458128078817733,0.8888888888888888
10.0,0.9045,0.001,0.013,0.019,0.226,0.9224137931034484,0.7777777777777778
12.0,0.3514,0.0132,0.0101,0.0593,0.0576,0.8736453201970443,0.8888888888888888
7.0,0.58,0.02,0.011,0.06,0.12,0.873399014778325,0.8611111111111112
14.0,0.7676,0.0001,0.0129,0.0102,0.0684,0.873399014778325,0.8611111111111112
10.0,0.9345,0.0001,0.011,0.012,0.025,0.9298029556650247,0.8611111111111112
11.0,0.911,0.0001,0.0101,0.0111,0.025,0.9012315270935961,0.8055555555555556
9.0,0.1924,0.0001,0.011,0.022,0.046,0.8802955665024632,0.8611111111111112
12.0,0.975,0.0001,0.0102,0.0123,0.0473,0.9229064039408869,0.8611111111111112
9.0,0.1749,0.0234,0.0114,0.0105,0.2349,0.7322660098522167,0.7222222222222222
9.0,0.9294,0.0001,0.0101,0.011,0.025,0.9298029556650247,0.8611111111111112
9.0,0.9886,0.0001,0.0102,0.0101,0.025,0.9298029556650247,0.8611111111111112
12.0,0.9735,0.0001,0.0101,0.0111,0.0272,0.9366995073891626,0.8611111111111112
13.0,0.9855,0.0001,0.0101,0.0112,0.027,0.9366995073891626,0.8611111111111112
14.0,0.989,0.0001,0.0101,0.011,0.027,0.9366995073891626,0.8611111111111112
14.0,0.9899,0.0001,0.0101,0.011,0.027,0.9366995073891626,0.8611111111111112
15.0,0.9899,0.0001,0.0101,0.011,0.027,0.9366995073891626,0.8611111111111112
14.0,0.99,0.0,0.01,0.01,0.01,0.9366995073891626,0.9444444444444444
15.0,0.99,0.0001,0.0101,0.011,0.027,0.9366995073891626,0.8611111111111112
14.0,0.99,0.0,0.01,0.01,0.01,0.9366995073891626,0.9444444444444444
12.0,0.9735,0.0001,0.0101,0.0111,0.0272,0.9366995073891626,0.8611111111111112
14.0,0.99,0.0,0.01,0.01,0.01,0.9366995073891626,0.9444444444444444
14.0,0.99,0.0,0.01,0.01,0.01,0.9366995073891626,0.9444444444444444
14.0,0.99,0.0,0.01,0.01,0.01,0.9366995073891626,0.9444444444444444
14.0,0.99,0.0,0.01,0.01,0.01,0.9366995073891626,0.9444444444444444
