hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score
185.0,0.000108685594791,215.0,0.002729872765365,0.371717949499384,0.0026566298800650002,0.4714285714285714,0.4444444444444444
84.0,0.155067725021613,227.0,0.0034029253146690003,0.101140030174416,0.052097967219698005,0.30935960591133005,0.4444444444444444
104.0,0.042149422583877,104.0,0.017692572850768,0.384147239692245,0.0062994922760190005,0.3445812807881773,0.16666666666666666
147.0,0.7351443178574231,15.0,1.4425186853193611e-05,0.7975590482703061,0.021819944836148002,0.33817733990147786,0.3333333333333333
116.0,2.47889002222658e-05,52.0,0.029075757573501,0.638161187869686,0.595741010417508,0.33842364532019703,0.3888888888888889
200.0,0.0007414433937908125,20.0,0.0061952623198205745,0.533,0.93152,0.38743842364532016,0.4444444444444444
200.0,0.000976563526809157,31.0,0.00914351749085345,0.124,0.9885,0.38743842364532016,0.4444444444444444
153.0,0.045147925528032845,28.0,5.082880506635464e-05,0.341,0.99832,0.5916256157635468,0.75
154.0,0.0012864410800666692,22.0,0.0008190920297293316,0.746,0.92011,0.3169950738916256,0.3888888888888889
132.0,0.05358263909275766,14.0,0.005771369765713907,0.537,0.9735,0.3231527093596059,0.16666666666666666
179.0,0.07140629503667713,14.0,0.00018253573546356649,0.154,0.87788,0.583743842364532,0.6944444444444444
163.0,0.0028479745234379497,16.0,9.865125169808595e-05,0.52,0.99211,0.5086206896551724,0.6666666666666666
166.0,0.06852890619458728,17.0,0.0043040429846855814,0.214,0.88507,0.29556650246305416,0.16666666666666666
177.0,0.004208340774606583,63.0,0.00934526239613747,0.821,0.99896,0.4219211822660099,0.16666666666666666
173.0,0.003277610181269712,16.0,0.0004461174385820098,0.578,0.96541,0.564039408866995,0.4444444444444444
163.0,0.0028479745234379497,16.0,0.0001428142028151996,0.52,0.99211,0.3665024630541872,0.3888888888888889
174.0,0.04464538783106824,23.0,0.00013256128337568618,0.871,0.99678,0.47832512315270936,0.75
185.0,0.008151244121276782,11.0,0.0001691912893317195,0.127,0.92554,0.6332512315270936,0.6666666666666666
143.0,0.0027250959607271396,11.0,0.0003382563825210872,0.357,0.99697,0.3815270935960591,0.4444444444444444
200.0,0.0908740952464686,47.0,0.0007611425484266264,0.408,0.99439,0.3509852216748768,0.7222222222222222
200.0,0.0005525628716280491,77.0,0.007454381237557397,0.147,0.99082,0.38743842364532016,0.4444444444444444
185.0,0.004072031228915161,15.0,0.0006617351437843842,0.3,0.99749,0.37266009852216747,0.3888888888888889
196.0,0.004871525722028736,12.0,0.00021346761603606708,0.487,0.99806,0.4770935960591133,0.5277777777777778
200.0,0.021583680322128172,10.0,0.006992379646658018,0.281,0.94859,0.38743842364532016,0.4444444444444444
179.0,0.06887263516057146,16.0,0.00014944235403434338,0.681,0.99446,0.42142857142857143,0.3333333333333333
168.0,0.009947526390713885,17.0,0.0013078694639007253,0.357,0.98856,0.3667487684729064,0.4444444444444444
181.0,0.09069645241585343,12.0,6.996865087628752e-05,0.444,0.96549,0.6406403940886699,0.8055555555555556
200.0,0.061572842048218696,12.0,0.00026724753000616973,0.524,0.93378,0.45788177339901476,0.4444444444444444
196.0,0.09613791520085135,12.0,0.0001097253058303447,0.527,0.92799,0.5344827586206897,0.6388888888888888
154.0,0.07900975225251314,54.0,0.009295988975528463,0.282,0.92289,0.34507389162561575,0.3888888888888889
