max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
7.0,0.011265210225126,0.274831238939354,0.054422714725212006,0.069008212877464,0.036168510137228,0.430295566502463,0.4444444444444444
4.0,0.172123011285296,0.14982733683726102,0.028248176259675004,0.17360272472826802,0.07840682962187401,0.916256157635468,0.9722222222222222
3.0,0.10590453897230101,0.092219932823457,0.21250560448987502,0.5060846317508411,0.068447432971658,0.6768472906403941,0.8888888888888888
13.0,0.014419271426492,0.25262304506085204,0.012892792521465002,0.07151151593956201,0.01455982567691,0.5768472906403941,0.4444444444444444
3.0,0.15519793585483901,0.11300600030211701,0.015162093706799001,0.027520151502054002,0.039018899440327,0.930049261083744,0.9444444444444444
7.0,0.7915,0.0118,0.0213,0.2241,0.0556,0.9155172413793103,0.9444444444444444
11.0,0.5756,0.0017,0.0101,0.0234,0.0119,0.9578817733990148,0.9444444444444444
13.0,0.3695,0.001,0.0156,0.0297,0.0548,0.9583743842364532,0.9444444444444444
12.0,0.4558,0.001,0.0101,0.0365,0.0103,0.972167487684729,0.9722222222222222
12.0,0.4559,0.0001,0.0101,0.0365,0.0104,0.972167487684729,0.9722222222222222
13.0,0.4795,0.0001,0.0101,0.0311,0.0102,0.972167487684729,0.9166666666666666
14.0,0.4794,0.0001,0.0101,0.0311,0.0101,0.972167487684729,0.9166666666666666
15.0,0.9799,0.0001,0.0101,0.0311,0.0101,0.9298029556650247,0.9166666666666666
15.0,0.4794,0.0001,0.0101,0.0311,0.0101,0.972167487684729,0.9166666666666666
12.0,0.4794,0.0001,0.0101,0.0311,0.0101,0.972167487684729,0.9166666666666666
15.0,0.4795,0.0001,0.0101,0.0311,0.0102,0.972167487684729,0.9166666666666666
14.0,0.4795,0.0001,0.0101,0.031,0.0101,0.972167487684729,0.9166666666666666
14.0,0.4558,0.0001,0.0101,0.0365,0.0103,0.972167487684729,0.9722222222222222
13.0,0.4795,0.0001,0.0101,0.0311,0.0101,0.972167487684729,0.9166666666666666
15.0,0.4795,0.0001,0.0101,0.0311,0.0101,0.972167487684729,0.9166666666666666
14.0,0.4795,0.0001,0.0102,0.031,0.0101,0.972167487684729,0.9166666666666666
14.0,0.4795,0.0001,0.0101,0.0311,0.0101,0.972167487684729,0.9166666666666666
14.0,0.4795,0.0001,0.0101,0.0311,0.0101,0.972167487684729,0.9166666666666666
14.0,0.4795,0.0001,0.0101,0.0311,0.0101,0.972167487684729,0.9166666666666666
14.0,0.4795,0.0001,0.0101,0.0311,0.0101,0.972167487684729,0.9166666666666666
15.0,0.4795,0.0001,0.0101,0.0311,0.0102,0.972167487684729,0.9166666666666666
14.0,0.4795,0.0001,0.0101,0.0311,0.0101,0.972167487684729,0.9166666666666666
14.0,0.4795,0.0001,0.0101,0.0311,0.0101,0.972167487684729,0.9166666666666666
14.0,0.4795,0.0001,0.0101,0.0311,0.0101,0.972167487684729,0.9166666666666666
14.0,0.4795,0.0001,0.0101,0.0311,0.0101,0.972167487684729,0.9166666666666666
