max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,1.003529786118584,0.4283826199867872
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,1.003529786118584,0.4283826199867872
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,1.003529786118584,0.4283826199867872
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,1.003529786118584,0.4283826199867872
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,1.003529786118584,0.4283826199867872
8,0.67,0.0,0.12,0.35,0.14,1.109156135784456,0.37692137513368806
11,0.73,0.0,0.13,0.32,0.25,1.0276095905953784,0.39722398503879536
8,0.53,0.0,0.15,0.24,0.31,1.0129710531452154,0.3812167030505801
10,0.78,0.0,0.05,0.36,0.29,1.037885995094977,0.39209219911474985
9,0.58,0.0,0.12,0.31,0.36,1.016991461905484,0.3812167030505801
8,0.62,0.0,0.1,0.39,0.27,1.050353107763872,0.3856729675940065
9,0.61,0.0,0.15,0.32,0.34,1.016991461905484,0.3812167030505801
10,0.74,0.0,0.11,0.35,0.3,1.0242858948734566,0.3812167030505801
8,0.71,0.0,0.14,0.33,0.29,1.0378733884046334,0.39209219911474985
9,0.78,0.0,0.1,0.32,0.28,1.0272322337609632,0.3947187226614906
