hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score
139,1.163039571448033,216,0.024491024634012003,0.39357815616936004,0.014222570771709001,1.1353387660730012,0.6505592098666654
95,2.1891618132748293e-05,75,0.0008140675984580001,0.5956702712389661,0.027524723274259002,1.9036221194680572,1.3280760758242942
109,1.03865802565003,91,0.003914600869268,0.224590680510133,0.74310397027772,1.11807723093689,0.4601706731442686
71,1.661588777011895,124,0.015982437247411,0.31380635630588305,0.108728553222819,1.2784634531128003,0.6058104221079108
158,0.031054086075930003,139,0.01082586226325,0.126200635206691,0.026338768980858,1.1092721538288899,0.5249702933532358
135,0.64982,233,0.00589,0.5,0.727,1.1148543025916444,0.4882770869520453
115,0.47516,186,0.00732,0.7,0.622,1.2892200640422211,0.7255019798968798
142,0.98517,238,0.00641,0.5,0.841,1.0292048771225446,0.44704074478504224
131,0.52284,222,0.00935,0.6,0.768,1.1775260864448025,0.4456060834885884
123,0.89731,215,0.00877,0.6,0.712,1.123552595000609,0.6037610044568843
140,0.78112,205,0.00497,0.6,0.835,1.055950457990137,0.8095852354953873
131,0.92318,197,0.00525,0.7,0.678,1.272699014978005,0.5888389535446046
121,0.51883,128,0.00574,0.6,0.817,1.0664839399590038,0.6315824901433665
127,0.81158,123,0.00602,0.7,0.649,1.3315038975531255,0.6914177729535934
129,0.61583,167,0.00458,0.7,0.872,1.4833748635472659,0.5895716072893225
