max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,1.0021103611715774,0.4275359792098744
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,1.0021103611715774,0.4275359792098744
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,1.0073770024199458,0.44741417957835644
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,1.0021103611715774,0.4275359792098744
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,1.0021103611715774,0.4275359792098744
7,0.65,0.0,0.03,0.42,0.19,1.0238482573419292,0.4457091248313441
11,0.68,0.0,0.02,0.45,0.31,1.0035872073951837,0.4337957119035436
13,0.62,0.0,0.05,0.42,0.18,1.0085520457732318,0.45187790250944865
12,0.64,0.0,0.05,0.39,0.17,1.0164341170673636,0.4517305929608634
11,0.65,0.0,0.04,0.43,0.27,1.009184905840101,0.4479667527133203
10,0.68,0.0,0.03,0.49,0.25,1.0099457260588145,0.4534352884562295
10,0.69,0.0,0.04,0.51,0.23,1.0141403714897268,0.45326246710945667
11,0.65,0.0,0.04,0.48,0.22,1.0174414115000647,0.4554154127328439
11,0.66,0.0,0.02,0.47,0.28,1.0086427939071623,0.45184963541607287
11,0.66,0.0,0.02,0.47,0.31,1.0030094827000635,0.4337957119035436
