max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,1.001891324516135,0.6017288196226791
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,1.001891324516135,0.6017288196226791
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.9595353447391968,0.5361764656369669
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,1.001891324516135,0.6017288196226791
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,1.001891324516135,0.6017288196226791
8,0.64,0.0,0.02,0.15,0.3,0.9799664854878556,0.5365814860007664
9,0.72,0.0,0.01,0.16,0.32,0.9731786045825597,0.5416625193863014
8,0.68,0.0,0.02,0.12,0.34,0.9745556605025343,0.5734732739460314
8,0.71,0.0,0.02,0.13,0.29,0.9733129023469569,0.5416625193863014
9,0.66,0.0,0.02,0.14,0.3,0.9736929100264893,0.5416625193863014
8,0.67,0.0,0.02,0.14,0.31,0.9736929100264893,0.5416625193863014
8,0.67,0.0,0.02,0.13,0.33,0.9813134284815994,0.5416625193863014
7,0.62,0.0,0.03,0.18,0.28,0.9702946529129626,0.5351855196362266
7,0.61,0.0,0.04,0.19,0.25,0.9887170329628472,0.5429824034311078
7,0.64,0.0,0.03,0.18,0.27,0.9702946529129626,0.5418996755642242
