hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score
139,1.163039571448033,216,0.024491024634012003,0.39357815616936004,0.014222570771709001,1.0864955423922302,0.7175732363920639
95,2.1891618132748293e-05,75,0.0008140675984580001,0.5956702712389661,0.027524723274259002,1.6535775842623235,1.4350157061040747
109,1.03865802565003,91,0.003914600869268,0.224590680510133,0.74310397027772,0.9656254898989358,0.68088429640715
71,1.661588777011895,124,0.015982437247411,0.31380635630588305,0.108728553222819,1.104924468592893,0.8244634580617116
158,0.031054086075930003,139,0.01082586226325,0.126200635206691,0.026338768980858,0.9999344327226005,0.6286162590491065
113,0.85341,173,0.00526,0.5,0.157,1.1207698237416701,0.8851706568544749
147,0.52115,131,0.00789,0.6,0.271,1.0622222909953656,0.7292621657733015
112,0.74598,186,0.00532,0.5,0.422,1.2078724529093292,1.043045671791863
123,0.47157,209,0.00638,0.7,0.536,1.0645113992888344,0.8509565675439974
131,0.04726,221,0.00754,0.8,0.598,1.7380736784422197,0.7386912551194147
141,0.06123,196,0.00578,0.6,0.487,1.2434434657709605,1.0965161253231364
140,0.29562,169,0.00712,0.7,0.356,1.310122911231175,0.7715029411117026
149,0.06352,218,0.00427,0.7,0.453,1.283848058328554,0.9230597116354969
119,0.16825,157,0.00498,0.5,0.313,1.3493123859678995,0.9277732085632062
133,0.61921,113,0.00547,0.8,0.495,1.2762395885688222,1.1030104098317082
