max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,1.0036223301572698,0.5938024076156424
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,1.0036223301572698,0.5938024076156424
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.9322251926743588,0.5357600881666122
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,1.0036223301572698,0.5938024076156424
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,1.0036223301572698,0.5938024076156424
11,0.65,0.0,0.13,0.25,0.33,0.9304510804663902,0.5431157699133583
10,0.68,0.0,0.15,0.23,0.31,0.925928362346701,0.549505905714256
11,0.73,0.0,0.12,0.28,0.29,0.9326234258968725,0.5407235755524237
8,0.62,0.0,0.17,0.18,0.35,0.9360978517644633,0.5491401814838809
10,0.67,0.0,0.14,0.21,0.32,0.9304205581453117,0.5369124409399288
11,0.71,0.0,0.1,0.24,0.3,0.9294496983030618,0.5388888224060314
11,0.72,0.0,0.11,0.26,0.31,0.931943721077122,0.5444010411887192
11,0.71,0.0,0.11,0.25,0.3,0.9294496983030618,0.5388888224060314
9,0.67,0.0,0.13,0.22,0.31,0.925928362346701,0.549505905714256
9,0.65,0.0,0.12,0.27,0.34,0.9325978954983791,0.5431157699133583
