C,gamma,tol,score,generalization_score
44.30375245218264,0.000519026301769,0.002576638574613,0.9915974593390006,0.5453498353175574
43.11710058685489,0.000265249637675,0.003833332156156,0.9741246568728001,0.5337562327995001
20.547625125911335,0.000779422611516,0.071556821617548,0.9916051392516515,0.5485083870045265
14.135935551752295,0.000619049016677,0.001304907355036,0.9756979481368713,0.5322471039043842
50.598038746604296,0.0008425518534430001,1.9237305096546492e-05,1.0323380716918038,0.5762561167675407
72.0,0.0005,0.01469,1.0046545216452063,0.5513259499633534
57.0,0.0004,0.00612,0.9866636485780284,0.5395533385894881
45.0,0.0005,0.00637,0.9902294941277485,0.5448614266266592
31.0,0.0005,0.00741,0.9822482000657597,0.5374662289688483
67.0,0.0004,0.00415,0.989631416711411,0.5444996483338436
78.0,0.0006,0.05293,1.0220930041434937,0.5667673456698065
49.0,0.0007,0.00325,1.0135526504762038,0.5536751348805942
37.0,0.0005,0.00531,0.9864169847540019,0.5390286236502277
62.0,0.0006,0.00442,1.0117324780371777,0.5526005592353773
10.0,0.0005,0.0063,0.9754491394798656,0.5348157124790794
