C,gamma,tol,score,generalization_score
44.30375245218264,0.000519026301769,0.002576638574613,1.007495490695203,0.3910701176246638
43.11710058685489,0.000265249637675,0.003833332156156,0.9979434232041922,0.3935529004419669
20.547625125911335,0.000779422611516,0.071556821617548,1.0086160240020323,0.3947864932059941
14.135935551752295,0.000619049016677,0.001304907355036,1.002456688938339,0.39326191317906084
50.598038746604296,0.0008425518534430001,1.9237305096546492e-05,1.0290620067890919,0.39449967122548624
67.0,0.0007,0.00191,1.0257957901390582,0.39334017666953064
63.00714,0.0005,0.0027648,1.0086573117350182,0.3925273237312593
786.0,0.0005,0.00156,1.0728203169387607,0.39500478577890585
32.0,0.0007,0.00108,1.008200511532121,0.3921854544344296
55.0,0.0006,0.00237,1.0110799957674694,0.3934221513127824
48.0,0.0006,0.00224,1.0096322268626459,0.3929292178803234
46.0,0.0007,0.00243,1.013788527723419,0.3932777107921655
38.0,0.0005,0.00261,1.0066448735299156,0.39205097614055023
42.31789,0.0006321,0.0012678,1.0091844321922878,0.39273063744814096
31.0,0.0005,0.00148,1.0055883655919406,0.3941220888622843
