max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,1.003529786118584,0.4283826199867872
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,1.003529786118584,0.4283826199867872
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,1.003529786118584,0.4283826199867872
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,1.003529786118584,0.4283826199867872
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,1.003529786118584,0.4283826199867872
9,0.37,0.0,0.11,0.38,0.21,0.994762627051807,0.39722398503879536
8,0.47,0.0,0.17,0.39,0.29,1.0099529796015063,0.39209219911474985
10,0.43,0.0,0.17,0.15,0.35,1.0065318121323916,0.3812167030505801
15,0.99,0.0,0.01,0.01,0.49,1.0088433385801445,0.46346475917083585
8,0.5,0.0,0.1,0.25,0.1,1.0977376342437573,0.3824331354339864
12,0.75,0.0,0.04,0.14,0.2,1.0786531980565495,0.368016139536843
6,0.41,0.0,0.08,0.17,0.15,1.0366710119562383,0.39174836758021936
10,0.5,0.0,0.01,0.01,0.01,1.4032506253974975,0.5969805106273914
11,0.45,0.0,0.01,0.01,0.05,1.1544599403745055,0.5733386416178224
6,0.49,0.0,0.01,0.01,0.01,1.530513185485666,0.6291021065492269
8,0.47,0.0,0.01,0.01,0.26,0.99634547463028,0.39722398503879536
8,0.6,0.0,0.01,0.01,0.01,1.3603226706015064,0.9825157395001265
5,0.57,0.0,0.03,0.37,0.11,1.0873796055966864,0.37968101451145087
10,0.36,0.0,0.01,0.01,0.01,1.4575945764350846,0.5803491231909432
8,0.46,0.0,0.01,0.01,0.26,0.99634547463028,0.39722398503879536
5,0.59,0.0,0.02,0.36,0.49,1.015397845508867,0.39554278073479787
1,0.99,0.0,0.01,0.01,0.01,1.078956606307562,0.4705557777112494
15,0.99,0.0,0.01,0.01,0.01,1.4775983016203047,1.2140468549252987
9,0.36,0.0,0.01,0.2,0.37,1.0064873825521476,0.38121670305058014
15,0.99,0.0,0.49,0.99,0.49,1.0088433385801445,0.46346475917083585
