hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score
139,1.163039571448033,216,0.024491024634012003,0.39357815616936004,0.014222570771709001,1.1353387660730012,0.6505592098666654
95,2.1891618132748293e-05,75,0.0008140675984580001,0.5956702712389661,0.027524723274259002,1.9036221194680572,1.3280760758242942
109,1.03865802565003,91,0.003914600869268,0.224590680510133,0.74310397027772,1.11807723093689,0.4601706731442686
71,1.661588777011895,124,0.015982437247411,0.31380635630588305,0.108728553222819,1.2784634531128003,0.6058104221079108
158,0.031054086075930003,139,0.01082586226325,0.126200635206691,0.026338768980858,1.1092721538288899,0.5249702933532358
176,0.00013,167,0.00421,0.5,0.538,1.2373704520505888,0.5791084402239456
155,0.00052,156,0.00048,0.8,0.617,2.8458782456517646,1.915651371018382
200,1e-05,10,0.1,0.9,0.999,6.814417040374472e+82,2.3840060996975725e+103
197,1e-05,123,1e-05,0.9,0.999,1.4074593852477857,0.6614368528618013
200,1e-05,250,0.1,0.9,0.999,2.679832979308562,4.867569998072125
50,10.0,250,1e-05,0.1,0.001,1.9384232642441035,1.1356940442104058
200,1e-05,91,1e-05,0.1,0.001,1.4277746783782037,1.0069926708201908
200,1e-05,123,0.01,0.8,0.999,2.0716523429387523,3.6456633345132907
200,0.03105,139,0.01083,0.1,0.026,1.003068456165271,0.602636724365778
200,2e-05,50,0.09999,0.9,0.998,388567142556.2494,2.035602274356601e+17
200,1e-05,250,1e-05,0.1,0.001,1.4391536960460716,1.0284313680820476
190,2e-05,76,0.09999,0.1,0.999,7819555991.383463,13032037537572.38
200,3e-05,11,0.09999,0.9,0.999,2.855467491636491e+75,1.1275790717134492e+98
200,5e-05,60,0.09998,0.9,0.999,1010237942.0906017,222597911433561.1
200,1e-05,100,0.09999,0.9,0.999,116.46115751270027,1137075.0426927966
121,5e-05,42,0.09999,0.8,0.998,728165178332.8588,8.425359398130723e+16
183,1e-05,239,0.09999,0.9,0.999,99.28858993473231,187.6203516452578
200,1e-05,102,0.09998,0.9,0.999,216.32609112303513,1263622.0519056208
168,3e-05,152,0.09998,0.9,0.999,133.88816489623608,261582.49010452567
200,1e-05,54,0.04444,0.5,0.625,1.0097319643600593,0.44625269253814087
