max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,1.0021103611715774,0.4275359792098744
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,1.0021103611715774,0.4275359792098744
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,1.0073770024199458,0.44741417957835644
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,1.0021103611715774,0.4275359792098744
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,1.0021103611715774,0.4275359792098744
8,0.31,0.0,0.06,0.23,0.15,1.0141218237819034,0.42601701966450095
6,0.74,0.0,0.27,0.05,0.38,1.0071739472789143,0.42967757665109785
5,0.37,0.0,0.15,0.27,0.08,0.999606179603988,0.4373901881177998
15,0.99,0.0,0.01,0.01,0.01,1.127085644429656,0.537335902988703
12,0.58,0.0,0.01,0.11,0.01,1.044730251229213,0.48122192669158215
9,0.63,0.0,0.01,0.01,0.01,1.1070596294859671,0.5466809825019883
5,0.31,0.0,0.01,0.01,0.01,1.0870828370557535,0.5107892904652719
14,0.49,0.0,0.01,0.01,0.01,1.1480835937305653,0.5192940832975186
7,0.5,0.0,0.1,0.01,0.3,1.0015076384752692,0.43109527812140963
14,0.22,0.0,0.12,0.01,0.2,1.00368623417609,0.43774684470705144
10,0.18,0.0,0.01,0.01,0.01,1.0498231257681438,0.4648987086338544
6,0.75,0.0,0.02,0.08,0.16,1.0382986826554503,0.45122402451090293
3,0.49,0.0,0.1,0.25,0.04,1.0113682685529146,0.46704451676934156
8,0.76,0.0,0.27,0.08,0.38,1.0071739472789143,0.42967757665109785
11,0.34,0.0,0.2,0.18,0.31,0.9990659673618165,0.4083122307629873
4,0.13,0.0,0.34,0.79,0.33,1.0021103611715774,0.4275359792098744
12,0.25,0.0,0.01,0.01,0.01,1.1100801769351716,0.5015975732739525
11,0.37,0.0,0.2,0.18,0.31,0.9959565198845745,0.4134557839703236
14,0.5,0.0,0.1,0.01,0.3,1.0015076384752692,0.43109527812140963
7,0.5,0.0,0.01,0.01,0.01,1.0623941811247228,0.4730631260634085
