max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,1.001891324516135,0.6017288196226791
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,1.001891324516135,0.6017288196226791
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.9595353447391968,0.5361764656369669
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,1.001891324516135,0.6017288196226791
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,1.001891324516135,0.6017288196226791
15,0.99,0.0,0.01,0.01,0.01,1.5664758248900665,1.1102199656262668
12,0.49,0.0,0.01,0.99,0.01,1.025152792651106,0.5999494610434407
11,0.83,0.0,0.32,0.69,0.37,0.980015296008402,0.5734732739460314
14,0.81,0.0,0.49,0.98,0.49,0.9516450405635698,0.538209810939918
13,0.74,0.0,0.01,0.27,0.01,1.036869706706484,0.5699122533131319
6,0.36,0.0,0.01,0.01,0.01,1.126608900997011,0.7783539102880294
11,0.71,0.0,0.01,0.01,0.1,1.0288746197382366,0.571410652730646
10,0.84,0.0,0.01,0.01,0.07,1.066885609520609,0.5936773515916521
7,0.63,0.0,0.01,0.01,0.24,0.9874386817510341,0.5429824034311078
13,0.7,0.0,0.49,0.99,0.49,0.9516450405635698,0.538209810939918
14,0.68,0.0,0.12,0.23,0.13,0.9733511982888947,0.5685087148731748
14,0.93,0.0,0.05,0.28,0.11,0.9343651995258139,0.5500586661880906
5,0.5,0.0,0.49,0.99,0.01,1.0061443600543793,0.6059603682390251
4,0.02,0.0,0.48,0.33,0.01,1.0076949007387705,0.5969634457001556
14,0.75,0.0,0.11,0.71,0.18,0.9759565871007055,0.5361764656369669
10,0.99,0.0,0.01,0.01,0.49,0.9652651719304437,0.5382098109399182
4,0.01,0.0,0.01,0.01,0.01,1.1368960126153724,0.7908037761942537
10,0.01,0.0,0.01,0.01,0.01,1.3320081494701097,1.1905181146537138
8,0.46,0.0,0.01,0.01,0.11,1.010581664549925,0.6777296812453538
15,0.99,0.0,0.49,0.99,0.49,0.9652651719304437,0.5382098109399182
