hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score
139,1.163039571448033,216,0.024491024634012003,0.39357815616936004,0.014222570771709001,1.0864955423922302,0.7175732363920639
95,2.1891618132748293e-05,75,0.0008140675984580001,0.5956702712389661,0.027524723274259002,1.6535775842623235,1.4350157061040747
109,1.03865802565003,91,0.003914600869268,0.224590680510133,0.74310397027772,0.9656254898989358,0.68088429640715
71,1.661588777011895,124,0.015982437247411,0.31380635630588305,0.108728553222819,1.104924468592893,0.8244634580617116
158,0.031054086075930003,139,0.01082586226325,0.126200635206691,0.026338768980858,0.9999344327226005,0.6286162590491065
111,1.15824,102,0.00568,0.5,0.763,1.0469229795362538,0.6583463711146617
127,0.00016,138,0.03732,0.6,0.677,1.7100806419908756,0.6454690561897737
168,1e-05,131,0.03768,0.9,0.999,77.9058161665652,73.85427246451688
105,1e-05,195,0.03631,0.1,0.995,279.74202830841944,208.499775321655
61,0.00029,115,0.0767,0.8,0.102,30.032474996346025,311.5600583175991
50,1e-05,250,1e-05,0.9,0.999,1.598935767217216,0.9743884908050334
200,1e-05,10,1e-05,0.1,0.001,1.473023058234467,1.042586719263868
62,1e-05,250,1e-05,0.9,0.999,1.435972652079293,1.212577973983369
106,1e-05,152,0.01,0.7,0.998,3.713619922747987,1.2065957673186527
75,3e-05,174,0.03481,0.3,0.996,1.0529662902170045,0.6176894376142188
200,1e-05,10,0.1,0.9,0.999,3.5107972564533486e+82,1.5800956844763556e+103
144,1e-05,10,0.1,0.9,0.999,5.094174071913783e+76,7.09242687380319e+94
200,1e-05,11,0.1,0.9,0.999,1.0539453782417864e+75,3.2054752041974917e+98
174,1e-05,153,0.09999,0.9,0.999,6.481283120240252,7736.2970816758725
200,1e-05,250,0.1,0.9,0.999,2.770234491827809,3.7142776340113803
51,1e-05,250,0.1,0.9,0.999,10.96483000047738,18.568574147985554
179,0.1,10,0.1,0.9,0.999,6.296765846204535e+78,8.936528373748638e+102
200,2e-05,11,0.09999,0.9,0.999,1.1101226980273651e+75,2.750290696045822e+98
126,1e-05,13,0.09999,0.9,0.999,6.907325257032491e+57,3.731461659746699e+73
200,1e-05,11,0.09999,0.9,0.999,1.1101257905165222e+75,2.750263329950924e+98
