C,gamma,tol,score,generalization_score
44.30375245218264,0.000519026301769,0.002576638574613,0.9915974593390006,0.5453498353175574
43.11710058685489,0.000265249637675,0.003833332156156,0.9741246568728001,0.5337562327995001
20.547625125911335,0.000779422611516,0.071556821617548,0.9916051392516515,0.5485083870045265
14.135935551752295,0.000619049016677,0.001304907355036,0.9756979481368713,0.5322471039043842
50.598038746604296,0.0008425518534430001,1.9237305096546492e-05,1.0323380716918038,0.5762561167675407
67.4,0.0002,0.03358,0.975041016244037,0.5323871139874806
529.4,0.0002,0.03037,1.0169219336490252,0.5556115978473456
457.2,0.0004,0.00918,1.10589245271152,0.6434677710883947
12.305,0.0006,0.04913,0.9762521887235561,0.5295537120378658
37.569,0.0009,0.03212,1.0223934840009654,0.5673529483794814
18.5,0.0007,0.03945,0.9850119217005018,0.537282285646506
56.74,0.0007,0.04678,1.0199173373552812,0.5626322102767015
82.4,0.0003,0.00526,0.9818419780578724,0.5388993300439096
77.829,0.0006,0.05529,1.0214266393562201,0.5687754334854302
14.4,0.0006,0.00805,0.9758792602290527,0.5323817183354553
19.0,0.0009,0.00234,0.9955851118483444,0.5442932415294235
30.9999,0.0001,1e-05,0.9739602300184398,0.543342526802503
73.0,0.0001,1e-05,0.9753599611409605,0.542434690276775
50.48,0.0004,5e-05,0.9835379240220299,0.5386709897816774
33.0,0.0004,0.00214,0.9760423538562417,0.5334963693203988
24.3,0.0009,2e-05,1.0030493859337088,0.548594309464943
11.7,0.0007,0.04914,0.9774630875043757,0.5320132884128742
2.0,0.0004,0.04139,0.9815737835654919,0.5374661316944958
19.067,0.0009,2e-05,0.9956396627960695,0.544391889929675
73.1,0.0001,0.1,0.9750648116081819,0.5452117407036566
