alpha,batch_size,depth,learning_rate_init,width,acc,bal_acc,f1,precision,generalization_score,time_init,time_final,score
3.5938137e-05,4,2,0.0016681006,101,0.7573333333333333,0.6008771929824562,0.6097985178304279,0.6454309680015324,0.7573333333333333,1700159273.9011164,1700159273.944876,0.8044843049327353
4.641589e-06,10,2,0.0004641589,40,0.7626666666666666,0.6005847953216374,0.610393389139961,0.6591490838383628,0.7626666666666666,1700159273.946217,1700159273.989228,0.7910313901345292
0.0021544348,40,1,0.0059948424,40,0.7653333333333334,0.6023391812865497,0.6130180084733059,0.6606818181818181,0.7653333333333334,1700159273.9913456,1700159274.0342395,0.7883408071748879
0.016681006,161,2,0.27825594,25,0.7573333333333334,0.5476608187134502,0.523257988851072,0.5320118724559023,0.7573333333333334,1700159274.0362647,1700159274.079462,0.779372197309417
0.00027825593,6,2,3.5938137e-05,25,0.752,0.5783625730994152,0.5836027520566265,0.6273720413086085,0.752,1700159274.0815024,1700159274.1251128,0.7865470852017937
0.016681006,101,3,0.021544347,101,0.744,0.5959064327485379,0.6034927219131557,0.6285898726728645,0.744,1700159276.1315114,1700159276.1979594,0.7910313901345292
3.5938137e-05,6,2,0.0016681006,101,0.7413333333333334,0.5941520467836258,0.600472395487671,0.6238355541045213,0.7413333333333334,1700159279.0435023,1700159279.109869,0.8098654708520179
0.00027825593,6,2,0.0004641589,101,0.7546666666666667,0.5991228070175438,0.6085207459173234,0.6421888528138527,0.7546666666666667,1700159280.8620822,1700159280.9289467,0.7946188340807174
1.0,25,3,0.27825594,256,0.76,0.5,0.4318181818181818,0.38,0.76,1700159283.1780071,1700159283.2426505,0.7623318385650224
3.5938137e-05,16,3,0.0004641589,256,0.7333333333333333,0.5812865497076023,0.5869955998039489,0.611862955692999,0.7333333333333333,1700159334.8982503,1700159334.963304,0.8125560538116592
3.5938137e-05,4,2,0.00012915497,256,0.76,0.610233918128655,0.621033201786331,0.6544992238943852,0.76,1700159336.847174,1700159336.913531,0.7928251121076233
0.00027825593,10,3,0.021544347,256,0.768,0.604093567251462,0.6124354624140504,0.703086892046933,0.768,1700159339.9882498,1700159340.049127,0.7865470852017936
3.5938137e-05,10,3,0.0004641589,645,0.7360000000000001,0.5944444444444443,0.6003907253786049,0.6169006046779275,0.7360000000000001,1700159394.6409764,1700159394.706808,0.8224215246636772
3.5938137e-05,4,3,0.0004641589,645,0.736,0.5982456140350877,0.6024145474204613,0.6179398275458388,0.736,1700159396.4424925,1700159396.5096369,0.8197309417040358
3.5938137e-05,4,2,0.0004641589,645,0.736,0.6096491228070176,0.6143515168989414,0.6271903255749992,0.736,1700159398.3214233,1700159398.380442,0.8089686098654709
3.5938137e-05,4,3,0.0004641589,1024,0.744,0.6073099415204678,0.6157675071633164,0.6387564080656186,0.744,1700159456.1172876,1700159456.1857429,0.8125560538116592
3.5938137e-05,16,2,0.0004641589,645,0.7466666666666666,0.6014619883040935,0.6097004582570887,0.6341939422584583,0.7466666666666666,1700159458.0073116,1700159458.0767329,0.8044843049327355
0.00027825593,4,3,0.0004641589,645,0.7306666666666667,0.5871345029239766,0.5933100288063164,0.610315985087567,0.7306666666666667,1700159459.7005482,1700159459.754807,0.811659192825112
4.641589e-06,10,3,0.0004641589,256,0.7360000000000001,0.5906432748538012,0.596521696103547,0.6163284338072473,0.7360000000000001,1700159516.3964677,1700159516.4645364,0.8233183856502242
4.641589e-06,16,3,0.0004641589,406,0.7413333333333334,0.597953216374269,0.6064932029418088,0.6317454384066226,0.7413333333333334,1700159518.4507725,1700159518.5167184,0.819730941704036
1e-08,4,2,1e-05,406,0.7626666666666668,0.6005847953216374,0.610762297001281,0.6548232323232324,0.7626666666666668,1700159576.1488166,1700159576.2171097,0.7910313901345292
4.641589e-06,6,3,0.0004641589,1024,0.7226666666666667,0.5894736842105264,0.5937794739898071,0.6046568894566694,0.7226666666666667,1700159577.86282,1700159577.926572,0.8161434977578474
4.641589e-06,25,3,0.0004641589,256,0.7200000000000001,0.5801169590643275,0.5841988826532828,0.5954957597913663,0.7200000000000001,1700159634.8417017,1700159634.9097319,0.8107623318385648
4.641589e-06,4,3,0.0004641589,256,0.736,0.5982456140350877,0.6020482394094205,0.6181601388906278,0.736,1700159696.4428487,1700159696.5118213,0.820627802690583
4.641589e-06,10,3,0.0004641589,645,0.7253333333333334,0.5912280701754387,0.5965709686777088,0.6071649201497771,0.7253333333333334,1700159697.9624987,1700159698.0263436,0.820627802690583
3.5938137e-05,6,3,0.0004641589,645,0.7226666666666667,0.585672514619883,0.5903139732885202,0.6008703614136911,0.7226666666666667,1700159756.539087,1700159756.6057024,0.8179372197309416
4.641589e-06,4,2,0.0004641589,406,0.76,0.625438596491228,0.635485099130459,0.6596109225403093,0.76,1700159814.9691467,1700159815.0146706,0.8098654708520179
3.5938137e-05,25,3,0.0004641589,1024,0.752,0.6125730994152047,0.6214680001861967,0.6460516791533075,0.752,1700159817.7329185,1700159817.8059576,0.820627802690583
0.00027825593,6,3,0.0004641589,645,0.7386666666666666,0.5961988304093567,0.6034718000962489,0.6229133178979491,0.7386666666666666,1700159819.2091413,1700159819.2771475,0.8242152466367714
3.5938137e-05,6,3,0.0004641589,645,0.7226666666666667,0.585672514619883,0.5903139732885202,0.6008703614136911,0.7226666666666667,1700159877.1178033,1700159877.1851127,0.8179372197309416
