alpha,batch_size,depth,learning_rate_init,width,acc,bal_acc,f1,precision,generalization_score,time_init,time_final,score
0.00027825593,64,2,0.0059948424,101,0.724,0.6923809523809523,0.6827489786921117,0.6805094200619136,0.724,1700171693.8360164,1700171693.895318,0.8814814814814815
0.0021544348,25,3,1.0,64,0.7,0.5,0.4117647058823529,0.35,0.7,1700171693.8966393,1700171693.9397018,0.7003367003367004
0.016681006,40,2,0.27825594,25,0.7,0.559047619047619,0.5037009434973708,0.4668477048477049,0.7,1700171693.9418075,1700171693.9851003,0.7144781144781145
7.742637e-08,4,3,0.07742637,645,0.7,0.5,0.4117647058823529,0.35,0.7,1700171693.9871955,1700171694.0299325,0.7003367003367004
1.0,101,2,0.07742637,25,0.742,0.6633333333333333,0.6641322532767742,0.6846962575121534,0.742,1700171694.0320115,1700171694.0748413,0.762962962962963
0.00027825593,10,2,0.0004641589,256,0.744,0.6933333333333334,0.6937549621738056,0.6945907981129962,0.744,1700171696.577094,1700171696.6360667,0.890909090909091
0.016681006,10,3,0.0004641589,256,0.742,0.6938095238095238,0.6932349463985052,0.6932524595327479,0.742,1700171697.8697367,1700171697.9247842,0.8868686868686868
0.0021544348,101,3,0.0004641589,406,0.756,0.7095238095238094,0.7092964138833617,0.7102918847321833,0.756,1700171700.3162928,1700171700.3820965,0.9003367003367003
0.00027825593,25,2,0.00012915497,64,0.744,0.6914285714285715,0.6924675278379502,0.6948575211442858,0.744,1700171701.7614794,1700171701.829199,0.888888888888889
0.00027825593,6,3,0.00012915497,64,0.762,0.7214285714285714,0.7194414571883545,0.7201479648645889,0.762,1700171754.943795,1700171755.0097072,0.888888888888889
0.0021544348,10,3,0.021544347,161,0.742,0.6919047619047619,0.6910613642834146,0.6948424823743854,0.742,1700171757.4711082,1700171757.5372248,0.8841750841750841
0.00027825593,101,2,0.00012915497,645,0.764,0.7190476190476192,0.7194153102149713,0.7212417266265306,0.764,1700171759.1247613,1700171759.1923654,0.8956228956228957
0.016681006,101,2,0.00012915497,645,0.752,0.7085714285714286,0.7073754845447663,0.7073667747111211,0.752,1700171815.5150478,1700171815.5844376,0.8956228956228957
0.016681006,16,2,0.0004641589,256,0.742,0.7071428571428571,0.7010928037227951,0.697591906468804,0.742,1700171817.9962728,1700171818.0615032,0.888888888888889
3.5938137e-05,16,2,0.0004641589,645,0.762,0.7176190476190476,0.7175616533581494,0.7193721547269933,0.762,1700171819.542737,1700171819.6123564,0.905050505050505
0.0021544348,4,2,0.0004641589,161,0.75,0.7052380952380952,0.7032766548032403,0.7028987037246994,0.75,1700171874.77142,1700171874.8409564,0.890909090909091
3.5938137e-05,10,1,0.27825594,256,0.6759999999999999,0.5419047619047619,0.4571186297468033,0.48559289507743114,0.6759999999999999,1700171876.3286674,1700171876.3942695,0.6801346801346801
0.0021544348,4,1,0.00012915497,1024,0.756,0.720952380952381,0.7155831116806013,0.711744039542547,0.756,1700171877.8573186,1700171877.9244905,0.8895622895622897
0.00027825593,40,3,0.0004641589,645,0.754,0.7042857142857142,0.7055061754556823,0.7083061574559698,0.754,1700171936.125536,1700171936.190617,0.903030303030303
0.00027825593,101,3,0.0004641589,406,0.756,0.7114285714285715,0.7105413179322906,0.7109093345344841,0.756,1700171937.9840875,1700171938.0527146,0.9003367003367003
5.994842e-07,16,1,0.0004641589,1024,0.744,0.6971428571428572,0.696236178151712,0.6958721892682873,0.744,1700171995.3758655,1700171995.4447029,0.901010101010101
3.5938137e-05,25,1,0.0004641589,1024,0.752,0.7028571428571428,0.7034901352922347,0.7049183471343361,0.752,1700171998.1104922,1700171998.1785216,0.9037037037037037
5.994842e-07,4,1,1e-05,645,0.784,0.7257142857142858,0.7330609048875611,0.7455144735864064,0.784,1700172116.9467044,1700172117.0131483,0.8316498316498316
0.016681006,40,1,0.0059948424,256,0.7420000000000001,0.6919047619047619,0.6920113250671877,0.6929634506009406,0.7420000000000001,1700172175.4961739,1700172175.5653217,0.8949494949494949
1e-08,16,2,0.00012915497,645,0.764,0.719047619047619,0.7192010972397226,0.721675820718713,0.764,1700172178.559784,1700172178.6282003,0.9016835016835018
0.00027825593,16,2,0.021544347,1024,0.7420000000000001,0.6919047619047619,0.6914145270188436,0.6941499425393651,0.7420000000000001,1700172236.5997808,1700172236.6684544,0.8848484848484848
0.00027825593,10,3,0.0004641589,1024,0.75,0.7090476190476191,0.7059317506422174,0.7066010154061625,0.75,1700172238.4761217,1700172238.5454035,0.901010101010101
0.00027825593,16,2,0.0004641589,645,0.758,0.7128571428571429,0.7130537210658702,0.714967359286877,0.758,1700172296.9635038,1700172297.0337582,0.903030303030303
0.00027825593,4,3,0.0004641589,101,0.754,0.7157142857142857,0.7117911986298966,0.7106341731972768,0.754,1700172356.3653855,1700172356.4311228,0.8996632996632996
3.5938137e-05,6,1,0.0004641589,161,0.766,0.7223809523809523,0.7220938191708912,0.7220950401325097,0.766,1700172358.0405085,1700172358.109119,0.8942760942760943
