max_depth,max_features,min_samples_leaf,min_samples_split,acc,bal_acc,f1,precision,generalization_score,time_init,time_final,score
5.0,0.0,11.0,12.0,0.7,0.5,0.4117647058823529,0.35,0.7,1700168126.8773293,1700168126.8924205,0.7003367003367004
5.0,0.3333333432674408,5.0,32.0,0.706,0.5157142857142858,0.4490994530696764,0.7133971291866029,0.706,1700168126.8934097,1700168126.9078345,0.7346801346801348
3.0,0.2222222238779068,13.0,20.0,0.7,0.5,0.4117647058823529,0.35,0.7,1700168126.9092746,1700168126.9237618,0.7003367003367004
2.0,0.5555555820465088,5.0,50.0,0.704,0.5066666666666667,0.4256425227086444,0.5514141414141414,0.704,1700168126.9251566,1700168126.9396195,0.7057239057239058
32.0,0.4444444477558136,17.0,3.0,0.724,0.5533333333333333,0.520988470996557,0.7378581095837322,0.724,1700168126.9410107,1700168126.955519,0.7494949494949494
8.0,0.3333333432674408,1.0,3.0,0.738,0.5823809523809523,0.5700714293581562,0.7466700330488412,0.738,1700168128.466118,1700168128.5002341,0.8215488215488216
13.0,0.8888888955116272,3.0,2.0,0.762,0.6985714285714284,0.7050412791550453,0.7180953986713565,0.762,1700168130.1841545,1700168130.2206807,0.868013468013468
13.0,0.8888888955116272,1.0,2.0,0.756,0.6961904761904762,0.7005780808006395,0.7117409610499348,0.756,1700168131.585938,1700168131.6201081,0.8902356902356902
20.0,0.7777777910232544,1.0,2.0,0.762,0.7004761904761905,0.7063180941123585,0.7172406587799811,0.762,1700168133.010736,1700168133.046893,0.8915824915824915
20.0,0.8888888955116272,1.0,2.0,0.762,0.7042857142857142,0.7093307795501921,0.7197036240152848,0.762,1700168134.6508632,1700168134.6870563,0.8909090909090909
20.0,0.8888888955116272,1.0,2.0,0.762,0.7042857142857142,0.7093307795501921,0.7197036240152848,0.762,1700168187.5122101,1700168187.5493407,0.8909090909090909
50.0,1.0,1.0,2.0,0.748,0.7,0.7001004027458981,0.705125230215293,0.748,1700168189.7833,1700168189.8162987,0.8875420875420875
8.0,0.8888888955116272,1.0,2.0,0.748,0.6733333333333333,0.6806282772868242,0.7021222653806749,0.748,1700168191.0244315,1700168191.059226,0.8646464646464647
13.0,0.5555555820465088,1.0,2.0,0.778,0.6928571428571428,0.707805086780586,0.7468250326908864,0.778,1700168193.3973532,1700168193.4284348,0.8929292929292929
5.0,0.1111111119389534,1.0,2.0,0.702,0.5033333333333334,0.4187036142954987,0.45070707070707067,0.702,1700168247.4050813,1700168247.4394312,0.7198653198653198
3.0,0.6666666865348816,1.0,2.0,0.712,0.5390476190476191,0.5025635943581803,0.6567995572321332,0.712,1700168249.381461,1700168249.4159925,0.7528619528619529
5.0,0.4444444477558136,1.0,2.0,0.718,0.5452380952380953,0.5092221431356448,0.7132154689799932,0.718,1700168251.5333366,1700168251.5680175,0.7663299663299663
5.0,0.7777777910232544,1.0,2.0,0.736,0.6133333333333334,0.6186555557972012,0.6874694154770342,0.736,1700168307.709318,1700168307.7441082,0.8080808080808082
8.0,0.7777777910232544,1.0,2.0,0.768,0.6857142857142858,0.6972310731315738,0.7298193709964464,0.768,1700168308.6573234,1700168308.6923482,0.8686868686868687
13.0,0.6666666865348816,1.0,2.0,0.774,0.6976190476190476,0.7087880633144916,0.736450890470433,0.774,1700168309.8201835,1700168309.855336,0.8915824915824915
5.0,0.7777777910232544,1.0,2.0,0.736,0.6133333333333334,0.6186555557972012,0.6874694154770342,0.736,1700168367.7101762,1700168367.7461493,0.8080808080808082
50.0,0.8888888955116272,1.0,2.0,0.764,0.7076190476190476,0.7121761282662833,0.7222585299668105,0.764,1700168368.8091466,1700168368.8372514,0.8909090909090909
32.0,0.7777777910232544,1.0,2.0,0.762,0.7004761904761905,0.7063180941123585,0.7172406587799811,0.762,1700168370.6723127,1700168370.7076411,0.8922558922558922
8.0,0.8888888955116272,1.0,2.0,0.748,0.6733333333333333,0.6806282772868242,0.7021222653806749,0.748,1700168428.0980568,1700168428.1342402,0.8646464646464647
13.0,0.7777777910232544,1.0,3.0,0.764,0.6923809523809523,0.7009577502332838,0.7204727400868614,0.764,1700168487.5650117,1700168487.6000774,0.8922558922558922
8.0,0.8888888955116272,1.0,3.0,0.752,0.6761904761904762,0.684691011871978,0.7065275357316436,0.752,1700168489.2694159,1700168489.3022192,0.8632996632996633
32.0,0.5555555820465088,3.0,20.0,0.784,0.6895238095238094,0.7053061628146567,0.763951579807053,0.784,1700168490.839384,1700168490.870941,0.8262626262626263
8.0,0.4444444477558136,1.0,2.0,0.742,0.6023809523809525,0.6025167498591759,0.7140388777351194,0.742,1700168548.1762757,1700168548.2111871,0.8437710437710437
20.0,0.7777777910232544,3.0,12.0,0.758,0.6823809523809523,0.6918234926991098,0.7133444419890542,0.758,1700168549.2792895,1700168549.3089278,0.857912457912458
20.0,0.4444444477558136,1.0,2.0,0.7979999999999999,0.7052380952380952,0.7230095387514743,0.7844183916858336,0.7979999999999999,1700168609.2509146,1700168609.2869205,0.8976430976430978
