alpha,batch_size,depth,learning_rate_init,width,acc,bal_acc,f1,precision,generalization_score,time_init,time_final,score
0.00027825593,64,2,0.0059948424,101,0.9333333333333333,0.9333333333333333,0.9327390862180465,0.9346274300439408,0.9333333333333333,1700192692.3770738,1700192692.4501767,0.9580786026200874
0.0021544348,25,3,1.0,64,0.116017316017316,0.116017316017316,0.029639519359145525,0.01709873138444567,0.116017316017316,1700192692.4515116,1700192692.4954474,0.1170305676855895
0.016681006,40,2,0.27825594,25,0.3125541125541126,0.3125541125541126,0.20819242472971872,0.20038198036674482,0.3125541125541126,1700192692.4974825,1700192692.5417416,0.3135371179039302
7.742637e-08,4,3,0.07742637,645,0.14285714285714285,0.14285714285714285,0.03571428571428571,0.02040816326530612,0.14285714285714285,1700192692.5437758,1700192692.5877786,0.14264919941775836
1.0,101,2,0.07742637,25,0.8424242424242425,0.8424242424242425,0.8394683072259622,0.8539720457949924,0.8424242424242425,1700192692.5898397,1700192692.634047,0.8622998544395923
0.016681006,64,1,0.0016681006,161,0.9324675324675326,0.9324675324675326,0.9322484232853923,0.9352389956634334,0.9324675324675326,1700192695.542248,1700192695.6120255,0.9499272197962154
0.0021544348,4,1,0.0016681006,645,0.922943722943723,0.922943722943723,0.9228393882674943,0.9271000577828656,0.922943722943723,1700192697.7384896,1700192697.8049157,0.9406113537117905
0.0021544348,6,3,0.0004641589,1024,0.9341991341991343,0.9341991341991343,0.9334001888540062,0.9355678903329387,0.9341991341991343,1700192700.3894596,1700192700.4577775,0.963027656477438
5.994842e-07,10,3,0.0004641589,645,0.9203463203463204,0.9203463203463205,0.9199940698012337,0.9233667778902226,0.9203463203463204,1700192703.4794478,1700192703.5491712,0.9615720524017467
3.5938137e-05,6,2,1e-05,645,0.9272727272727274,0.9272727272727272,0.9265279702816669,0.9293516166074844,0.9272727272727274,1700192755.2860618,1700192755.3540683,0.9435225618631732
1e-08,6,3,1e-05,1024,0.929004329004329,0.929004329004329,0.9280684719500503,0.9301175031978417,0.929004329004329,1700192757.1866949,1700192757.257237,0.9586608442503639
1.0,4,2,0.0004641589,406,0.4692640692640693,0.4692640692640693,0.3567114768893338,0.3115921252342594,0.4692640692640693,1700192759.374236,1700192759.438019,0.4759825327510917
1e-08,16,2,1e-05,256,0.9064935064935066,0.9064935064935066,0.9044485914563256,0.9069547165438364,0.9064935064935066,1700192813.6466098,1700192813.7064443,0.9243085880640466
5.994842e-07,16,1,0.021544347,406,0.9177489177489178,0.9177489177489178,0.9175712162741154,0.9237592447683188,0.9177489177489178,1700192816.579963,1700192816.6488945,0.9356622998544395
0.00027825593,4,2,0.0004641589,161,0.9229437229437231,0.9229437229437231,0.922050456788951,0.9250083993873518,0.9229437229437231,1700192818.2854722,1700192818.3554077,0.957496360989811
1e-08,25,1,0.00012915497,1024,0.9367965367965368,0.9367965367965368,0.936379304921223,0.9373722230097193,0.9367965367965368,1700192873.3603776,1700192873.4262092,0.9490538573508006
0.0021544348,40,3,0.0004641589,406,0.9238095238095239,0.9238095238095239,0.923102284435245,0.9284654536036208,0.9238095238095239,1700192876.2089615,1700192876.2704437,0.9595342066957787
1e-08,10,3,0.0004641589,1024,0.9281385281385282,0.9281385281385282,0.9271945907069943,0.9290502679275723,0.9281385281385282,1700192879.3747897,1700192879.4437535,0.963027656477438
0.00027825593,6,3,0.00012915497,161,0.9307359307359306,0.9307359307359309,0.9300844276590605,0.9316345485845208,0.9307359307359306,1700192935.9308326,1700192935.9978974,0.9624454148471615
1e-08,10,3,1e-05,256,0.9246753246753247,0.9246753246753247,0.9239294137490998,0.9262937143518459,0.9246753246753247,1700192938.0552979,1700192938.118283,0.9426491994177584
3.5938137e-05,10,3,0.0004641589,1024,0.9281385281385282,0.9281385281385282,0.9275334206641361,0.9302946973928301,0.9281385281385282,1700192994.8103247,1700192994.8799462,0.9548762736535663
7.742637e-08,4,3,0.0004641589,645,0.9186147186147187,0.9186147186147187,0.9188190328796265,0.9218479045586558,0.9186147186147187,1700192996.781849,1700192996.8461497,0.9563318777292575
7.742637e-08,6,3,0.0004641589,645,0.9264069264069265,0.9264069264069265,0.9259770152763751,0.9285195329085347,0.9264069264069265,1700193114.6950626,1700193114.761603,0.9609898107714703
1e-08,16,2,1e-05,1024,0.9238095238095239,0.9238095238095239,0.9228124180881275,0.9253549270093977,0.9238095238095239,1700193116.8462746,1700193116.9125707,0.9420669577874818
5.994842e-07,4,3,0.0004641589,1024,0.9281385281385282,0.9281385281385282,0.9272295571147015,0.9288364302927391,0.9281385281385282,1700193175.693461,1700193175.761574,0.9577874818049491
1e-08,101,1,0.0004641589,645,0.9393939393939394,0.9393939393939394,0.9391031560380355,0.9399588957446776,0.9393939393939394,1700193234.1637743,1700193234.2307534,0.9513828238719068
0.00027825593,10,3,0.00012915497,256,0.9264069264069265,0.9264069264069263,0.9255890334341235,0.9270575640391543,0.9264069264069265,1700193236.4807804,1700193236.5489392,0.96098981077147
0.00027825593,10,3,0.0004641589,1024,0.9238095238095239,0.9238095238095237,0.9237829482597555,0.926958269450803,0.9238095238095239,1700193294.3304234,1700193294.3968055,0.9630276564774383
1e-08,6,3,0.00012915497,256,0.9186147186147187,0.9186147186147187,0.9183412086758805,0.9202711892789687,0.9186147186147187,1700193295.9477723,1700193296.0139027,0.9621542940320232
7.742637e-08,40,2,0.00012915497,161,0.9324675324675326,0.9324675324675324,0.9318478699549256,0.9338315375081028,0.9324675324675326,1700193355.7243345,1700193355.7898855,0.9487627365356623
