max_depth,max_features,min_samples_leaf,min_samples_split,acc,bal_acc,f1,precision,generalization_score,time_init,time_final,score
5.0,0.6666666865348816,1.0,8.0,0.7388235294117647,0.7411147186147187,0.7202776724652746,0.7345851546975986,0.7388235294117647,1700195775.5744584,1700195775.5894566,0.8063492063492064
2.0,0.1111111119389534,5.0,8.0,0.5811764705882353,0.5861363636363637,0.5321176015229978,0.5785204714640197,0.5811764705882353,1700195775.5905206,1700195775.6051302,0.6166666666666667
5.0,0.5555555820465088,9.0,32.0,0.7247058823529412,0.727478354978355,0.7031027638940619,0.7162200191551173,0.7247058823529412,1700195775.6066196,1700195775.621107,0.7793650793650793
3.0,0.8888888955116272,1.0,32.0,0.6988235294117646,0.702056277056277,0.6641913712732732,0.7138682785255366,0.6988235294117646,1700195775.6225278,1700195775.6369095,0.6992063492063492
5.0,0.5555555820465088,3.0,5.0,0.7388235294117647,0.7412229437229437,0.719427251767857,0.7372201603394691,0.7388235294117647,1700195775.638322,1700195775.6525695,0.8055555555555556
13.0,0.4444444477558136,3.0,3.0,0.7623529411764706,0.7638311688311689,0.750279392117081,0.7629933970177658,0.7623529411764706,1700195777.060965,1700195777.0953739,0.9071428571428571
20.0,0.8888888955116272,1.0,2.0,0.788235294117647,0.7892316017316017,0.7841261136393278,0.7915887150913388,0.788235294117647,1700195778.7868207,1700195778.822641,0.9079365079365079
13.0,0.4444444477558136,1.0,2.0,0.7741176470588236,0.7756277056277057,0.7632705654764571,0.7759710458623503,0.7741176470588236,1700195780.2465453,1700195780.2798917,0.9079365079365079
20.0,0.8888888955116272,7.0,12.0,0.7529411764705882,0.7543831168831169,0.7446429516451512,0.7499231723211902,0.7529411764705882,1700195782.9806652,1700195783.017895,0.8555555555555555
20.0,0.5555555820465088,1.0,2.0,0.7788235294117647,0.7803896103896104,0.7685747369654651,0.7819074103378013,0.7788235294117647,1700195785.4687865,1700195785.5058265,0.9111111111111112
13.0,0.7777777910232544,1.0,2.0,0.7788235294117648,0.7799350649350649,0.7710759195195832,0.7827681925729648,0.7788235294117648,1700195838.6988835,1700195838.7342541,0.9126984126984127
20.0,0.7777777910232544,1.0,2.0,0.7788235294117647,0.7800432900432901,0.7715600984078714,0.7804915101169345,0.7788235294117647,1700195840.0970526,1700195840.131792,0.9150793650793652
20.0,0.7777777910232544,3.0,2.0,0.7788235294117648,0.7802813852813852,0.7701153031639637,0.7763723318454776,0.7788235294117648,1700195842.1018302,1700195842.1391027,0.9
32.0,0.5555555820465088,1.0,2.0,0.7788235294117647,0.7803896103896104,0.7685747369654651,0.7819074103378013,0.7788235294117647,1700195843.8481123,1700195843.8834398,0.9111111111111112
50.0,0.8888888955116272,3.0,3.0,0.7717647058823529,0.7727813852813853,0.7651426195717558,0.7703973472179995,0.7717647058823529,1700195896.8917694,1700195896.9285195,0.8928571428571427
13.0,0.5555555820465088,1.0,2.0,0.7835294117647058,0.7849350649350648,0.7740210781742034,0.7872216750254677,0.7835294117647058,1700195898.4750762,1700195898.5099528,0.9079365079365079
20.0,0.7777777910232544,1.0,2.0,0.7788235294117647,0.7800432900432901,0.7715600984078714,0.7804915101169345,0.7788235294117647,1700195899.5305576,1700195899.5638108,0.9150793650793652
50.0,0.8888888955116272,5.0,12.0,0.7576470588235295,0.7589285714285714,0.7502187643555271,0.7556262545476983,0.7576470588235295,1700195900.7921147,1700195900.8254178,0.86984126984127
